command	result	note
cargo fmt --all --check	pass	Workspace formatting is current.
cargo clippy --workspace --all-targets --all-features -- -D warnings	pass	All workspace targets and features are warning-free.
cargo test --workspace --all-targets --all-features	pass	All unit, integration, CLI, example, and xtask tests passed after correcting stale v0.6 goldens.
cargo test --workspace --doc	pass	All documentation tests passed, including the exact Synodal рабѡмъ example.
cargo xtask synodal-fixture-bootstrap	pass	Two empty-cache fixture reconstructions produced byte-identical candidate artifacts and 1163 of 1187 expanded evaluation cells.
cargo xtask synodal-regenerate	pass	Generated 655 lexemes, 2450 forms, and 655 senses; the unsupported bare pronoun и lexical form was removed while exact oblique cells remained.
cargo xtask synodal-check	pass	Generated registries, source boundaries, candidate links, leakage partitions, and reports are current.
cargo xtask synodal-evaluate	pass	Evaluation returned 1163 expanded top-1 and 1118 printed top-1 results across 1187 held-out cells; every returned alternative is retained for top-k accounting.
cargo xtask synodal-coverage --fixture --offline --check	pass	Locked fixture produced 111 top-k tokens of 155 and matched committed artifacts.
cargo xtask synodal-coverage --offline	pass	Locked 74130-passage and 1313344-token corpus produced 853770 top-k tokens and 458189 unresolved tokens.
cargo xtask synodal-coverage --offline --check	pass	Full locked corpus reports are byte-current at 853770 top-k tokens, 65.007 percent.
cargo xtask synodal-lexical-review-queue --check	pass	The 212-proposal cross-source lexical queue is deterministic and current.
cargo xtask synodal-evaluation-queue --check	pass	The 1460-cell passage-disjoint evaluation queue is deterministic and current.
cargo xtask synodal-family-review-queue --check	pass	The 1736-proposal family queue is current and all 200 highest-impact proposals have decisions.
cargo xtask synodal-marginal-recovery --check	pass	The 1743 overlap-aware batches total 184296 diagnostic tokens with zero tokens remaining for the strict 65 percent gate.
cargo xtask synodal-v06-review-packets --check	pass	All 1743 deterministic JSON, TSV, and Markdown packets agree with final coverage and evidence ledgers.
cargo xtask synodal-v04-audit --check	pass	The immutable v0.4 audit is locked and current.
cargo xtask synodal-v05-baseline --check	pass	The machine-readable v0.5 baseline is locked and current.
cargo xtask synodal-v05-audit --check	pass	The immutable v0.5 audit and digest are locked and current.
cargo xtask check-all	pass	The complete repository registry, dictionary, accuracy, API, runtime-boundary, attribution, test, and documentation gate passed.
cargo xtask guard-witnesses	pass	Every injected base-workspace failure was detected and reverted.
cargo xtask synodal-guard-witnesses	pass	Every injected Synodal failure was detected; the inherited-policy witness uses an unsupported dual cell.
cargo check no-default-features native	pass	Core, facade, and dictionary crates compile natively without default features.
cargo check no-default-features wasm32-unknown-unknown	pass	Core, facade, and dictionary crates compile for the installed wasm32-unknown-unknown target.
cargo package --list --allow-dirty	pass	All three runtime package manifests exclude corpora, reports, review queues, references, caches, and unintended artifacts.
cargo publish --dry-run --no-verify --allow-dirty	pass	All three runtime crates packaged successfully; only expected dirty-worktree and unused-patch warnings were emitted and uploads were aborted by dry-run.
cargo xtask synodal-bootstrap --offline --cache references/downloads	pass	Verified all 321 locked artifacts without network access and reproduced the 655-lexeme, 2450-form, 655-sense reviewed state.
git diff --check	pass	The complete working-tree diff has no whitespace errors.
candidate-link and leakage validation	pass	All runtime evidence links resolve to pinned source candidates; evaluation-partition and passage-overlapping runtime evidence are rejected.
independent full-diff review against merge base 1b8ed2db2168a4e5cd70f56941c5f1aae7c5018c	pass	Reviewed all intended tracked and untracked v0.3-v0.6 files while excluding the unrelated source-availability workflow edit. Fixed the false bare-pronoun и lexical form, stale tests and README counts, an ineffective inherited guard witness, the blank suggested-action audit column, and 13 missing manual held-out candidate IDs. Eleven prior lexical rejections were retained only after confirming independent admitted typed-cell and target evidence. No confirmed P0 or P1 issue remains.
