review_id	syntacticus_lemma	syntacticus_part_of_speech	selected_lexeme_id	selected_semantic_candidate_id	decision	reviewer	reviewed_at	review_note
v07-identity-byti	быти	V	synodal:verb:byti		reviewed	codex-review	2026-08-11	Selected the established Synodal быти identity. The duplicate v0.6 exact-only identity is not a second lexical identity, and this preference licenses only separately source-typed cells.
v07-identity-tsesarstvo	цѣсарьство	N		synodal:candidate:1b003de4e77620ad38fb4ad0	reviewed	codex-review	2026-08-11	Selected the exact source-partition цѣсарьство dictionary identity meaning kingdom, empire, or dominion; the competing цѣсарство spelling is equivalent but less exact for this Syntacticus lemma.
v07-identity-vsyak	вьсякыи	A	synodal:determiner:vsyak		reviewed	codex-review	2026-08-11	Selected the established complete-table Synodal всѧкъ determiner for the Syntacticus adjectival-tag family; the source tag does not by itself create a second adjective identity.
v07-identity-ves	вьсь	P	synodal:determiner:ves		reviewed	codex-review	2026-08-11	Selected the established Synodal весь determiner for the Syntacticus pronominal-tag family; only exact source-typed agreement cells are eligible.
v07-identity-mnogyi	мъногыи	A	synodal:adjective:mnog		reviewed	codex-review	2026-08-11	Selected the established Synodal многъ adjective; the long-form Syntacticus lemma is the same reviewed lexical identity and licenses only exact source-typed cells.
v07-identity-mnog	мъногъ	A	synodal:adjective:mnog		reviewed	codex-review	2026-08-11	Selected the established Synodal многъ adjective over the duplicate exact-only v0.6 identity; both reviewed records express the same lexical sense.
v07-identity-velikyi	великыи	A	synodal:adjective:wikt-e406458f5df6		reviewed	codex-review	2026-08-11	Selected the already reviewed great or big adjective identity for its Syntacticus long-form lemma; no productive adjective class is inferred.
v07-identity-david	давꙑдъ	N	synodal:proper-noun:david		reviewed	codex-review	2026-08-11	Selected the established biblical David proper-noun identity; the Syntacticus y-vowel lemma spelling is a historical identity spelling, not a separate person.
v07-identity-pasti-fall	пасти#1	V	synodal:verb:v06-9c74840d41a83b98		reviewed	codex-review	2026-08-11	Selected the already reviewed fall or perish homograph for падоша and падутъ; the feed or pasture homograph remains distinct and is not admitted for these forms.
v07-identity-poslushati	послушати	V	synodal:verb:wikt-bbe1760d7910		reviewed	codex-review	2026-08-11	Selected the reviewed eastern послꙋшати hear or hearken identity; the оу-spelled source record is an equivalent historical spelling and need not create a duplicate lexeme.
v07-identity-pomyanuti-modern	помянути	V		synodal:candidate:7eab9fbd204bd41465fb2649	reviewed	codex-review	2026-08-11	Selected the source-partition помѧнѫти identity meaning recall or remember for the normalized Syntacticus spelling.
v07-identity-pomyanuti-historical	помѧнѫти	V		synodal:candidate:7eab9fbd204bd41465fb2649	reviewed	codex-review	2026-08-11	Selected the exact source-partition помѧнѫти identity meaning recall or remember; the competing ѣ-spelled record is an equivalent entry.
v07-identity-zhrebii	жрѣбии	N		synodal:candidate:e20bb8ecd6be45d3dda7dc34	reviewed	codex-review	2026-08-11	Selected the exact жрѣбии source entry meaning dice or lot; the жрѣбъ entry is a linked alternate lemma but the exact source headword is preferred.
