id	lemma	pos	gender	anim	class	stress	stems	overrides	variants	src	note
алкати.v	а҆лка́ти	v	-	-	V12t	a{inf=E;part.pres.act.short.m.sg.gen=0;part.pres.act.short.m.sg.dat=0;part.pres.act.short.m.sg.acc=0;part.pres.act.short.m.pl.nom=0;part.pres.act.short.m.pl.gen=0;part.pres.act.short.m.pl.dat=0;part.pres.act.short.m.pl.ins=0;part.pres.act.short.m.pl.loc=0;part.pres.act.short.f.sg.acc=0;part.pres.act.short.f.pl.gen=0;part.pres.act.short.f.pl.dat=0;part.pres.act.short.f.pl.ins=0;part.pres.act.short.f.pl.loc=0;part.pres.act.short.n.sg.gen=0;part.pres.act.short.n.sg.dat=0;part.pres.act.short.n.sg.acc=0;part.pres.act.short.n.pl.gen=0;part.pres.act.short.n.pl.dat=0;part.pres.act.short.n.pl.ins=0;part.pres.act.short.n.pl.loc=0;part.pres.act.long.m.sg.nom=0;part.pres.act.long.m.sg.dat=0;part.pres.act.long.m.sg.acc=0;part.pres.act.long.m.sg.loc=0;part.pres.act.long.m.pl.nom=0;part.pres.act.long.m.pl.gen=0;part.pres.act.long.m.pl.dat=0;part.pres.act.long.m.pl.acc=0;part.pres.act.long.m.pl.ins=0;part.pres.act.long.m.pl.loc=0;part.pres.act.long.f.sg.nom=0;part.pres.act.long.f.sg.gen=0;part.pres.act.long.f.sg.acc=0;part.pres.act.long.f.du.nom=0;part.pres.act.long.f.du.acc=0;part.pres.act.long.f.pl.nom=0;part.pres.act.long.f.pl.gen=0;part.pres.act.long.f.pl.dat=0;part.pres.act.long.f.pl.acc=0;part.pres.act.long.f.pl.ins=0;part.pres.act.long.f.pl.loc=0;part.pres.act.long.n.sg.nom=0;part.pres.act.long.n.sg.dat=0;part.pres.act.long.n.sg.acc=0;part.pres.act.long.n.sg.loc=0;part.pres.act.long.n.du.nom=0;part.pres.act.long.n.du.acc=0;part.pres.act.long.n.pl.gen=0;part.pres.act.long.n.pl.dat=0;part.pres.act.long.n.pl.ins=0;part.pres.act.long.n.pl.loc=0}	9=алча	part.pres.act.short.m.sg.nom=а҆́лчꙋщꙋ;part.pres.act.short.m.sg.loc=а҆́лчꙋщемъ;part.pres.act.short.n.sg.nom=а҆́лчꙋщꙋ;part.pres.act.short.n.sg.loc=а҆́лчꙋщемъ	part.pres.act.short.m.sg.nom=а҆́лчѧ|а҆́лчꙋщемъ|а҆́лчꙋщь;part.pres.act.short.n.sg.nom=а҆́лчѧ|а҆́лчꙋщемъ|а҆́лчꙋще;part.pres.act.long.m.sg.nom=а҆лка́ѧй|а҆́лчꙋщїй;part.pres.act.long.m.sg.acc=а҆́лчꙋщїй;part.pres.act.long.n.sg.nom=а҆лка́ѧй	P:V12t	ipf; intr
анаѳематствовати.v	а҆наѳема́тствовати	v	-	-	V12ov	a	-	-	-	P:V12ov	-
архіерействовати.v	а҆рхіере́йствовати	v	-	-	V12ov	a	-	-	-	P:V12ov	ipf; intr
архітектѡнствовати.v	а҆рхітектѡ́нствовати	v	-	-	V12ov	a	base=архітектонствова	-	-	P:V12ov	ipf; intr
арѡматствовати.v	а҆рѡма́тствовати	v	-	-	V12ov	a	-	-	-	P:V12ov	ipf; intr
бабити.v	ба́бити	v	-	-	V21p	a	-	-	-	P:V21p	ipf; intr
бдѣти.v	бдѣ́ти	v	-	-	V22t	a	-	pres.1.sg=бдю̀;part.pres.act.short.m.pl.acc=бдѧ́щѧ;part.pres.act.short.f.pl.nom=бдѧ́щѧ;part.pres.act.short.f.pl.acc=бдѧ́щѧ	part.pres.act.short.m.sg.nom=бдѧ́щꙋ;part.pres.act.short.n.sg.nom=бдѧ́щꙋ	P:V22t	ipf; intr
беззаконновати.v	беззако́нновати	v	-	-	V12ov	a	-	part.pres.act.short.m.sg.nom=беззако́ннꙋющꙋ;part.pres.act.short.n.sg.nom=беззако́ннꙋющꙋ	-	P:V12ov	ipf; intr
беззаконноватисѧ.v	беззако́нноватисѧ	v	-	-	V12ov	a	encl=сѧ	-	-	P:V12ov	ipf; intr; med
беззаконствовати.v	беззако́нствовати	v	-	-	V12ov	a	-	-	-	P:V12ov	ipf; intr
безмолвствовати.v	безмо́лвствовати	v	-	-	V12ov	a	-	pres.2.du=безмо́лвствꙋетѣ;pres.3.du=безмо́лвствꙋетѣ;part.pres.act.long.m.sg.acc=безмо́лвствꙋющїй	part.pres.act.short.m.sg.nom=безмо́лвствꙋющꙋ;part.pres.act.short.n.sg.nom=безмо́лвствꙋющꙋ;part.pres.act.long.m.sg.nom=безмо́лвствꙋющїй	P:V12ov	ipf; intr
безмолствовати.v	безмо́лствовати	v	-	-	V12ov	a	-	-	-	P:V12ov	ipf; intr; headword безмо́лвствовати
безпечалитисѧ.v	безпеча́литисѧ	v	-	-	V21n	a{part.pres.act.long.m.sg.nom=L;part.pres.act.long.n.sg.nom=L}	encl=сѧ	-	-	P:V21n	ipf; intr; med
