evidence_id	candidate_id	source_id	citation	decision	target_recension	review_note
v07-source-00292099f41270f0	synodal:candidate:5f837db63d30cabad7cec5c2	syntacticus-20230428	afnik.conll:unknown	reviewed	synodal-russian	Reviewer confirmed that the governed source supports this exact surface and typed cell; no sibling cell or productive rule is implied.
v07-source-005faf8f6e79727b	synodal:candidate:58c9325e8926a0f5080a4bff	english-wiktionary-ocs-kaikki-2026-08-07	плотъ	reviewed	synodal-russian	Reviewer confirmed that the governed source supports this exact surface and typed cell; no sibling cell or productive rule is implied.
v07-source-008d8dfe0eebc929	synodal:candidate:167df70f5cd219971c6c5e35	english-wiktionary-ocs-kaikki-2026-08-07	глава	reviewed	synodal-russian	Reviewer confirmed that the governed source supports this exact surface and typed cell; no sibling cell or productive rule is implied.
v07-source-00a484b7531f9cd3	synodal:candidate:463c1263299f9fa3ae0d556c	syntacticus-20230428	lav.conll:unknown	reviewed	synodal-russian	Reviewer confirmed that the governed source supports this exact surface and typed cell; no sibling cell or productive rule is implied.
v07-source-0116b52437fb25ee	synodal:candidate:575d31cf0508e64b2caffadb	syntacticus-20230428	const.conll:unknown	reviewed	synodal-russian	Reviewer confirmed that the governed source supports this exact surface and typed cell; no sibling cell or productive rule is implied.
v07-source-011977629533fe70	synodal:candidate:722ebe568196626ead8564d8	syntacticus-20230428	lav.conll:unknown	reviewed	synodal-russian	Reviewer confirmed that the governed source supports this exact surface and typed cell; no sibling cell or productive rule is implied.
v07-source-01295866fb900633	synodal:candidate:df1157f8296411a4c8454fc6	syntacticus-20230428	lav.conll:unknown	reviewed	synodal-russian	Reviewer confirmed that the governed source supports this exact surface and typed cell; no sibling cell or productive rule is implied.
v07-source-012b8551e0b58bfd	synodal:candidate:3a2b578bd3e93697991258b9	syntacticus-20230428	supr.conll:unknown	reviewed	synodal-russian	Reviewer confirmed that the governed source supports this exact surface and typed cell; no sibling cell or productive rule is implied.
v07-source-0146b2cfc2782dc1	synodal:candidate:0e8f360a6d3d4578ea6f9137	english-wiktionary-ocs-kaikki-2026-08-07	мѧсо	reviewed	synodal-russian	Reviewer confirmed that the governed source supports this exact surface and typed cell; no sibling cell or productive rule is implied.
v07-source-01c32d2c7592c882	synodal:candidate:1fc14fc46faec861c562fddb	english-wiktionary-ocs-kaikki-2026-08-07	Илиꙗ	reviewed	synodal-russian	Reviewer confirmed that the governed source supports this exact surface and typed cell; no sibling cell or productive rule is implied.
