source_order	headword	systems	strategy	implementation_status	evidence_id	note	target_recension
2	блюсти	present,aorist,l-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
3	(про)бости	future,aorist,l-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
4	брати	present,imperfect	caller-exact-principal-parts	source-evidence-incomplete	alypy-104-inventory-complete	Source prints an explicitly uncertain form; the engine requires caller evidence for that cell.	synodal-russian
5	братисѧ	present,aorist,imperfect,l-participle,past-passive-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
6	быти	present,future,aorist,imperfect,imperative,l-participle,present-active-participle,past-active-participle	bundled-exact-and-productive	implemented-bundled	alypy-104-inventory-complete	Bundled stable identity and exact/principal-part data.	synodal-russian
7	вести	present,l-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
8	вити	present,aorist,past-passive-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
9	видѣти	imperative	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
10	влещи	present	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
11	(ѿ)версти	future,aorist,l-participle,past-active-participle,past-passive-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
12	(по)врещи	future,aorist,imperative,l-participle,past-active-participle,past-passive-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
13	вѣдѣти	present,imperative,present-active-participle,present-passive-participle	bundled-exact-and-productive	implemented-bundled	alypy-104-inventory-complete	Bundled stable identity and exact/principal-part data.	synodal-russian
14	(ᲂу)вѧнꙋти	future,aorist	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
15	гаснꙋти	present,aorist	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
16	(ᲂу)глебнꙋти	future,aorist	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
17	(по)гребсти	future,aorist,stem-alternation	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
18	гнати	present,future,aorist,imperfect,imperative,stem-alternation	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
19	гибнꙋти	present,future,present-active-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
20	дати	future,aorist	bundled-exact-and-productive	implemented-bundled	alypy-104-inventory-complete	Bundled stable identity and exact/principal-part data.	synodal-russian
21	(воз)двигнꙋти	future,aorist	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
22	довлѣти	present,defectiveness	bundled-exact-and-defective	implemented-bundled	alypy-104-inventory-complete	Bundled exact cells and source-typed defectiveness.	synodal-russian
23	достоитъ	present,imperfect,defectiveness	typed-defective-inventory	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through exact overrides and typed system or inventory defects.	synodal-russian
24	драти	present	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
25	дѣѧти	stem-alternation	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
26	дꙋти	present-active-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
27	дхнꙋти	future,aorist,past-active-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
28	жати	present	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
29	жати	present	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
30	(ᲂу)жаснꙋтисѧ	future,aorist	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
31	жещи	present,aorist,imperative,present-active-participle,present-passive-participle,past-active-participle,past-passive-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
32	жвати	present,aorist,imperfect,present-passive-participle	caller-exact-principal-parts	source-evidence-incomplete	alypy-104-inventory-complete	Source prints an explicitly uncertain form; the engine requires caller evidence for that cell.	synodal-russian
33	жити	present,aorist,imperfect	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
34	жрети [приносить жертву]	present,aorist,imperfect,l-participle,present-passive-participle,past-passive-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
35	жрети [поглощать]	past-passive-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
36	звати	present,aorist,imperfect,present-active-participle,present-passive-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
37	здати	present,imperfect,present-active-participle,present-passive-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
38	(про)зѧбнꙋти	future,aorist	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
39	имати	present,aorist,imperfect,present-active-participle	bundled-exact-and-productive	implemented-bundled	alypy-104-inventory-complete	Bundled stable identity and exact/principal-part data.	synodal-russian
40	исчезнꙋти	future,aorist	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
41	ити	present,future,aorist,imperfect,l-participle,present-active-participle,past-active-participle,stem-alternation	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
42	(вс)киснꙋти	future,aorist	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
43	клати	present,imperfect	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
44	клѧти	present,aorist,imperfect	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
45	ковати	present	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
46	(при)коснꙋтисѧ	future,aorist	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
47	красти	present,aorist,imperfect,l-participle,present-active-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
48	(вос)креснꙋти	future,aorist,l-participle,past-active-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
49	крыти	present,imperfect,past-passive-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
50	лгати	present,future,present-active-participle,stem-alternation	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
51	лещи	future,aorist	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
52	ліѧти	present,imperative	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
53	(при)льпнꙋти	future,aorist	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
54	(в)лѣзти	future,aorist	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
55	млети	present,aorist,imperfect,present-active-participle,past-passive-participle	caller-exact-principal-parts	source-evidence-incomplete	alypy-104-inventory-complete	Source prints an explicitly uncertain form; the engine requires caller evidence for that cell.	synodal-russian
56	(ᲂу)молкнꙋти	future,aorist	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
