wave	holdout_generalised	holdout_memorised	holdout_top_k	top_k_analyzed	morphology_free_analyzed	lexemes	verb_lexemes	principal_parts	productive_evaluation_rows	note
v0.12-baseline	9467	15048	25574	964791	50151	999	169	149	1	Merge base of the v0.12 program; corpus top-k 73.46%, held-out generalised 21.31%
v0.12-wave-1	9868	14998	25925	968073	50138	1002	172	170	29	Alypy 73 reflexive rule (lexeme flag + derived readings), j-series imperative, uk-digraph fold in lookup/accent/print, sibilant participle series, admissions boyatisya/uboyatisya/umreti with 28 productive evaluation rows
v0.12-wave-2	9968	14998	26025	970579	50122	1002	172	193	46	Productive promotion of the exact-only reflexive hosts возвратити, ѡбратити, собрати with full principal-part evidence, future-singular accent scopes, a retracted mislabelled v07 future cell, and pre-enclitic acute/grave host matching for reflexive readings
v0.12-wave-3	10048	14998	26105	971946	50122	1005	175	224	65	Admissions оуслышати, оузрѣти (promoting the v07 exact-only identity from the OCS headword оузьрѣти), оубити with its j-series imperative and both passive stems, and оумертвити with the attested labial epenthesis оумерщвлю
v0.12-wave-4	10266	14998	26323	973202	50122	1008	178	244	77	Admissions клѧтисѧ (with the new §86 vowel-t aorist rule reaching the held-out клѧ́тсѧ by rule), приближитисѧ, царствовати with its -ова-/-ꙋ- stem suppletion; retracts the mislabelled глаголати aorist plural exact cell so глаго́лаша generates
v0.12-wave-5	10501	14998	26558	975115	50030	1011	181	273	96	Admissions послꙋшати (merged onto the reviewed identity wikt-bbe1760d7910), грѧсти, потребити, входити, ѿпꙋстити (merged onto v07-b4d42124734cba64); held-out грѧдѝ, потреблю̀, вхо́дитъ, вхожда́хꙋ reached by rule or §80 licence
v0.12-wave-6	10562	14998	26619	979411	49836	1017	187	325	122	Eight verbs from the prediction feed (слышати, внити with the attested шелъ:шли base, погибнꙋти with the §§86,97 -нꙋ- drop, спасти, вознести, согрѣшити, разꙋмѣти promoted from the OCS headword, скончати); review fixes: the оумрꙋтъ principal part is licensed by the §82 ending alone and the archive manifest covers the four audit documents
v0.12-wave-7	11089	14998	27146	982586	49836	1030	187	325	147	Fourteen nouns including the first reviewed positional paradigm row (§36 свѧще́нникѡвъ, applied under every profile before accent), the promoted ѡчищенїе identity, and the plural-kamora старѣ̑йшины; the memorised ceiling caught and reverted two exact rows citing held-out types (со́нмищихъ, мы́шцею), whose cells stay generated as ordered variants
v0.12-wave-8	11569	14998	27626	983580	49824	1035	188	332	158	Nouns пасха, востокъ, стражба, лакоть, promoted юница; verb пристꙋпити; §36 positional row for the existing законъ (held-out зако́нѡвъ by rule) and hand plural scopes for жена and принести reaching their held-out cells
v0.12-wave-9	12219	14998	28276	985512	49824	1039	188	343	171	Adjective wave: вышнїй, мꙋжескъ, истиненъ, долженъ new; малъ, великъ, живъ promoted; праведнъ gains its mobile-е masculine; жити promoted to a productive verb; живы́й records genuine adjective/participle homonymy in the ceiling
v0.12-wave-10	12727	14998	28784	986722	49824	1048	188	343	188	Proper-noun wave: єфремъ, ісаакъ, іѡасъ, іѡакімъ, халевъ, галаадъ, фїліппъ, виѳлеемъ, амасіа (second-soft-m-ia); паѵелъ deferred pending a hard mobile-е masculine class
v0.12-wave-11	13185	14998	29242	988100	49824	1055	190	366	199	Mixed wave: nouns исходъ, конникъ; adjectives ꙗзыческїй, пꙋстъ, повинный; verbs вопрошати, свѧзати; лꙋкавый, вѣровати, поразити merged onto their existing reviewed identities
