packet_id	decision	realized_unique_tokens	blocker	review_note
v07-exact-980153f166e78e72	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-25b94b8a16cce9a5	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-1f02fba63933bc06	rejected	0	false-lexical-or-cell-alignment	Manual comparison of the source identity and cell with the target contexts found a homograph, wrong sense, or wrong inflectional cell; this proposal must not license runtime analysis.
v07-exact-a7a6342f779cdf39	rejected	0	false-lexical-or-cell-alignment	Manual comparison of the source identity and cell with the target contexts found a homograph, wrong sense, or wrong inflectional cell; this proposal must not license runtime analysis.
v07-exact-db263f601b8aaf04	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-97e686acbdb72df2	rejected	0	false-lexical-or-cell-alignment	Manual comparison of the source identity and cell with the target contexts found a homograph, wrong sense, or wrong inflectional cell; this proposal must not license runtime analysis.
v07-exact-2bca9ab80667c172	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-ff4f5bd22036b7f4	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-4dd690431e48bb6d	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-dbbea99005ce0e80	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-3bbd21980ec8b1e0	rejected	0	false-lexical-or-cell-alignment	Manual comparison of the source identity and cell with the target contexts found a homograph, wrong sense, or wrong inflectional cell; this proposal must not license runtime analysis.
v07-exact-086d25fb1692dbe4	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-73c0df1cc5db3101	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-ef401162f84e67db	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-708d16b3186f4872	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-21cae190e9129514	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-e44c0414266f6efd	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-b93159728cc36453	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-b7efeba55ea70476	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-59c1fd57f35e3fcf	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-c1f9f4e581455922	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-3705f95be9538c16	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-eaf2bfb2ba56add1	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-43038957161cdd80	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-878af485b3e02287	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-f2f6fbd6f2bb5aa0	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-010588105c8763b9	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-d51697a7ffcfcab5	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-b112d55e63b8b4af	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-d2842c15c3eeeeb5	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-dafd4c7d85e2f243	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-97c9a6d17d918989	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-a9b572f7e9f34210	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-9150c21c7ee299b0	rejected	0	false-lexical-or-cell-alignment	Manual comparison of the source identity and cell with the target contexts found a homograph, wrong sense, or wrong inflectional cell; this proposal must not license runtime analysis.
v07-exact-3dfe4ac83410d5ea	rejected	0	false-lexical-or-cell-alignment	Manual comparison of the source identity and cell with the target contexts found a homograph, wrong sense, or wrong inflectional cell; this proposal must not license runtime analysis.
v07-exact-c42bfb136fcedbaf	rejected	0	false-lexical-or-cell-alignment	Manual comparison of the source identity and cell with the target contexts found a homograph, wrong sense, or wrong inflectional cell; this proposal must not license runtime analysis.
v07-exact-747768bcdf9f891d	rejected	0	false-lexical-or-cell-alignment	Manual comparison of the source identity and cell with the target contexts found a homograph, wrong sense, or wrong inflectional cell; this proposal must not license runtime analysis.
v07-exact-6e40736dc8759f43	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-5392271052694bee	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-0cd08d741a192725	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-cca4f33c7e585613	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-16b7a5f96f2fb8d4	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-cab3d1d1e4d2f628	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-b7ecb50a11682da1	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-abb02bab8b833c59	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-215f7eaf95d716b4	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-a36769c4fd8e3570	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-329932d6b0b56bfb	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-426e44dd093f00fc	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-dc82a1e4a49869b8	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-5cb798c497be4ea7	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-fe27c67d46a38281	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-66f480e826be740d	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-e8d473ee19f088d1	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-35179a169038befb	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-953568c2a89caa2e	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-de93462385666d48	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-640a08f19d1b42e6	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-c76aff255f7c062c	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-c70e1d24c2e10f49	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-fc397a3dc5e7c314	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-bf3804b7e0e2a38c	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-6aecad17260dbf25	rejected	0	false-lexical-or-cell-alignment	Manual comparison of the source identity and cell with the target contexts found a homograph, wrong sense, or wrong inflectional cell; this proposal must not license runtime analysis.
v07-exact-ca17b548209dbed2	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-5a079f3a37a5aedf	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-ddcebdb92ae1e2ba	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-088eb9185caf12d9	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-34d6b64dfe62c285	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-978782f9f0457662	rejected	0	false-lexical-or-cell-alignment	Manual comparison of the source identity and cell with the target contexts found a homograph, wrong sense, or wrong inflectional cell; this proposal must not license runtime analysis.
v07-exact-c14c3dc519052287	rejected	0	false-lexical-or-cell-alignment	Manual comparison of the source identity and cell with the target contexts found a homograph, wrong sense, or wrong inflectional cell; this proposal must not license runtime analysis.
v07-exact-04ed760df267f7eb	rejected	0	false-lexical-or-cell-alignment	Manual comparison of the source identity and cell with the target contexts found a homograph, wrong sense, or wrong inflectional cell; this proposal must not license runtime analysis.
v07-exact-edbba315f23b937f	rejected	0	false-lexical-or-cell-alignment	Manual comparison of the source identity and cell with the target contexts found a homograph, wrong sense, or wrong inflectional cell; this proposal must not license runtime analysis.
v07-exact-026e6dc7b26d171d	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-e5b34b5b12b2db1e	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-e6bc9ce8510a291b	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-6c579042b43af93c	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-74dc48cd960446c5	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-ab8bcfc0e5151846	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-cd5c99f45b5d04a6	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-73fbaa79ac34163b	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-c0ff7ed4ddcead81	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-87db92cb62eb04fc	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-0a35bc32f756c5d3	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-bfb38fa8c2325868	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-199cb89c926179b4	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-2559f3c06bcaf622	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-13f2f4ae806ddc1b	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-6a9b14781c2c2e4f	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-1acb8247139341e6	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-f8ee702b94fda4d1	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-7ba392ab47e32e5d	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-5344a75d33f05314	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-fd481ab609a5e156	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-670411f542844907	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-2089f8b0eecd1ac0	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-7b835f624a9a6ab9	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-6416f15ddefdef7d	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-01aca0c6105873a6	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-4b2c97a0922b95d3	admitted	0		Manual review confirmed the lexical and semantic continuity, exact source-typed cell, exact NFC Synodal source spelling, and passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
