lexeme_id	reason	source
благодѣтел҄ь|noun|9dcb97e14c0f4c90	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
бл҄ьвотина|noun|51c55328a0ffe550	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
гонител҄ь|noun|cbde94d99428880c	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
гоубител҄ь|noun|e35c959e241c0a0e	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
декѧбр҄ь|noun|35d0962230eb1d6f	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
добл҄ьство|noun|4ab661b9885572bf	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
дѣлител҄ь|noun|da98bf6b8b8a11e0	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
елефа́нтъ|noun|72d9c1243217ce19	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
жел҄а|noun|f9bac9599a0108c9	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
жѧтел҄ь|noun|71506fcaca498097	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
защитител҄ь|noun|ec790c5a45635e7c	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
зьдател҄ь|noun|53eaf2b41b922b15	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
избавител҄ь|noun|96e332d43f0c7330	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
искоусител҄ь|noun|78088876afcc3155	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
исцѣлител҄ь|noun|6297dc22353e6944	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
казател҄ь|noun|ad4922ad323bd521	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
корабл҄ьникъ|noun|b904d2c2fac50a4c	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
кръчьмар҄|noun|7d8d66d74ed3fc2c	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
крьстител҄ь|noun|b17299b911675f18	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
кън҄ижьникъ|noun|6217e04b9fd3bb2e	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
к҄итъ|noun|5a46e4ab1309dc98	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
лили́къ|noun|687e66fa94700e99	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
лъжесъвѣдѣтел҄ь|noun|8f12f553a0fe7b04	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
льгꙑн҄и|noun|08ae56f9911f3505	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
магъдалꙑн҄и|noun|fa9c05f41ca4529d	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
мѫчител҄ь|noun|a734773c5972d0ea	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
мѵрото́чецъ|noun|05c5bc8007819924	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
некън҄ижьникъ|noun|121375952db91e6c	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
ноѩбр҄ь|noun|58dd3943a346edd4	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
обличител҄ь|noun|89d362671394fc4b	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
обрѣтател҄ь|noun|c55850fc4d56821f	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
оун҄ьшиина|noun|50b8239e7cbe94a0	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
