candidate_id	decision	linked_lexeme_id	admitted_class	admitted_stem	gender	aspect	number_restriction	animacy	stem_alternants	principal_parts	accent_metadata	positional_metadata	abbreviation_metadata	normative_source	normative_citation	target_evidence	semantic_evidence	confidence_bp	assumptions	review_note
synodal:family-candidate:e7b70810f3d1ff0f3fa989c0	admitted	synodal:adverb:dokole	exact-indeclinable-adverb	not-inferred			indeclinable				acute on о	preserve exact whole-token spelling		ponomar-elizabeth-bible-2026-08-09	Apoc.6.10	ponomar-apoc-6-10-dokole-indeclinable,wikisource-apoc-6-10-dokole-indeclinable	ponomar-sci-dokole-semantic,ud-ocs-dokole-interrogative-adverb,sense:v23:adverb:dokole	10000	The admission is one exact invariant interrogative temporal adverb and does not infer productive behavior for other до- or -лѣ words.	Admitted after SCI supplied the lexical meaning, OCS PROIEL independently typed the inherited identity as an interrogative adverb, and two locked target witnesses established the exact Synodal spelling and accent; I_Kings.1.14 remains held out.
synodal:family-candidate:24a7edad66f6fc82617ca845	admitted	synodal:noun:v07-345d6105fdd39fce	first-soft-m	кнѧз	masculine		singular,dual,plural	animate			mobile root accent outside the ending-accented plural genitive, dative, accusative, and locative	exact wide-є dative plural, -їе nominative plural, locative singular -и/-ѣ, and kamora dual/zero-genitive variants		alypy-gamanovich-grammar-web-2023	§§34,36	ponomar-deut-33-5-knyaz-mobile-accent,ponomar-dan-1-3-knyazey-genitive-plural,ponomar-acts-4-5-knyazem-dative-plural,ponomar-i-esdra-9-1-knyazie-nominative-plural,ponomar-lk-11-15-knyazi-locative-singular,wikisource-mt-9-34-knyaze-locative-singular,ponomar-jn-7-48-knyaz-zero-genitive-plural,ponomar-judg-7-25-knyazya-accusative-dual	review:v07:eaa0eeb14158a453,sense:v07:eaa0eeb14158a453	10000	Potentially unattested cells are transparent products of Alypy's complete soft-masculine class; independently witnessed wide-letter, -їе, locative, and kamora forms remain bounded exact variants.	Admitted the already reviewed кънязь identity as a complete animate soft-masculine paradigm after source-partition cells established its mobile accent, number inventory, and print variants; I_Paral.11.6 remains held out for productive evaluation.
synodal:family-candidate:d6ab3ef4ff0bb2f803428636	admitted	synodal:noun:vsesozhzhenie	first-soft-ie-n	всесожженї	neuter		singular,dual,plural	inanimate			fixed acute on third stem vowel	productive -їй genitive plural of the soft -їе class		alypy-gamanovich-grammar-web-2023	§§34–37	ponomar-deut-12-13-vsesozhzhenii-genitive-plural	ponomar-sci-vsesozhzhenie-semantic,sense:v13:noun:vsesozhzhenie	10000	The genitive-plural surface is generated only for the admitted soft-neuter identity and typed cell.	Admitted as the productive genitive plural of the fully reviewed всесожженїе family; the motivating source is disjoint from held-out evaluation.
synodal:family-candidate:d016e48355af4b1ef957a5f8	deferred															ponomar-elizabeth-bible-2026-08-09:Apoc.2.10 source witness; Apoc.12.1 evaluation occurrence excluded	synodal:candidate:c4e69ad7d9d98af0d2cd4e54;ud-ocs-proiel-r2.18:synodal:candidate:756d3bfcba140d3e40e48b0e	3500	SCI supplies crown semantics and OCS supplies an accusative-singular analysis, but neither establishes a complete target-recension mobile-e noun class or accent paradigm.	Deferred after cross-source review: вѣне́цъ is securely attested and semantically identified, yet its stable Synodal lemma, stem alternation, animacy, all-number declension, and accent behavior require a complete independent family review rather than admission from the motivating surface.
synodal:family-candidate:754f8b18b0d884ebd741b3a9	deferred															ponomar-elizabeth-bible-2026-08-09:Acts.27.12,Apoc.12.8 source witnesses		1500	возмо́гꙋтъ and возмого́ша establish two finite surfaces but not the exact lexical identity, aspect, independently licensed present/future/aorist principal parts, or complete accent systems.	Deferred after contextual review: the repeated forms plausibly belong to a prefixed мощи family, but surface prefixing cannot choose the lemma or license every finite and nonfinite system; no productive admission is made from two forms alone.
synodal:family-candidate:fb8c1d62a628f914220aa044	admitted	synodal:noun:yazyk	first-hard-velar-m	ꙗзык	masculine		singular,dual,plural	sense-conditioned	к→ц before plural locative ѣ; к→ч in vocative singular		fixed acute on second stem vowel with exact kamora variants	exact wide-omega genitive and dative plural variants		alypy-gamanovich-grammar-web-2023	§§2,34–36	ponomar-acts-14-2-yazykov-genitive-plural,ponomar-acts-13-47-yazykom-dative-plural	review:v05:noun:yazyk,sense:v05:noun:yazyk	10000	Animacy remains a caller-supplied syntactic dimension because the reviewed tongue, language, people, and nation senses differ; exact cells precede the productive background.	Admitted to the complete first-declension velar family after the reviewed lexical identity, Alypy class rules, disjoint target cells, and Polyakov N1k counterexamples were reconciled; target wide omega stays exact rather than becoming a universal rewrite.
synodal:family-candidate:034de9ad24cad6477fe23a3b	admitted	synodal:noun:yazyk	first-hard-velar-m	ꙗзык	masculine		singular,dual,plural	sense-conditioned	к→ц before plural locative ѣ; к→ч in vocative singular		fixed acute on second stem vowel with exact kamora variants	exact wide-omega genitive and dative plural variants		alypy-gamanovich-grammar-web-2023	§§2,34–36	ponomar-acts-21-19-yazytsiekh-locative-plural,ponomar-ex-1-9-yazyku-dative-singular	review:v05:noun:yazyk,sense:v05:noun:yazyk	10000	The locative plural alternation is licensed only by the typed velar class; it is not inferred from the unresolved surface family.	Admitted as the same complete ꙗзыкъ family after a source-partition locative plural and a passage-disjoint held-out evaluation independently confirm the к→ц cell and fixed accent.
synodal:family-candidate:4e1283dc5fc26f010a2b6ff4	admitted	synodal:noun:yazyk	first-hard-velar-m	ꙗзык	masculine		singular,dual,plural	sense-conditioned	к→ц before reviewed ѣ cells; к→ч in vocative singular		fixed acute on second stem vowel with exact kamora variants	exact wide-omega genitive and dative plural variants		alypy-gamanovich-grammar-web-2023	§§2,34–36	ponomar-ex-1-9-yazyku-dative-singular,ponomar-acts-13-47-yazykom-dative-plural	review:v05:noun:yazyk,sense:v05:noun:yazyk	10000	The dative singular is productive from the class and fixed accent; the distinct wide-omega dative plural remains an exact target variant.	Admitted as the same complete ꙗзыкъ family after disjoint source/evaluation dative cells demonstrate the productive singular and exact plural presentations without changing the global orthography contract.
synodal:family-admission:v04:gospod-abbreviations	admitted	synodal:noun:wikt-ed67a3345df1	exact-typed-abbreviation-cells	not-inferred	masculine		singular	animate			preserved from exact witnesses	titlo, superscript с, pokrytie required	seven typed, non-reversible contractions with contextual restrictions	alypy-gamanovich-grammar-web-2023	§3	ponomar-acts-1-21-gospod-abbreviation,ponomar-acts-2-25-gospoda-abbreviation,ponomar-acts-1-6-gospodi-abbreviation,ponomar-acts-8-24-gospodu-abbreviation,ponomar-acts-2-34-gospodevi-abbreviation,ponomar-acts-11-23-gospode-abbreviation,ponomar-baruch-1-5-gospodem-abbreviation	sense:v03:ed67a3345df1; review:v03:ed67a3345df1	9500	Expansion preserves every compatible typed analysis and never performs blind replacement	Admitted as seven exact abbreviation cells. The underlying noun remains exact-only; the contractions do not establish a complete declension.
synodal:family-admission:v04:reshchi	admitted	synodal:verb:wikt-06af096688df	exact-irregular-cells-only	not-inferred					реч-/рек-/рѣк-/рц-	future 3pl рекꙋ́тъ; aorist рѣ́къ/реко́хъ/речѐ; imperative рцы̀/рцы́те	exact cells from §104 and target acute variant	exact expanded and printed cells		alypy-gamanovich-grammar-web-2023	§104	ponomar-acts-1-7-reche	sense:v03:06af096688df; review:v03:06af096688df	9500	Admission is limited to cited cells; stems, aspect, and a complete paradigm are not inferred	Admitted only as an independently sourced irregular exact-cell family. This is not a productive conjugation and does not license unattested present, aorist, participial, or other cells.
