review_id	decision	route	family_id	lexeme_id	lemma	part_of_speech	surface	frequency	cell	semantic_evidence_id	morphology_evidence_id	target_evidence_id	evaluation_candidate_id	source_passage	evaluation_passage	predicted_unique_tokens	realized_unique_tokens	blocker	review_note
v06-exact-00b86039c06c2914	admitted	source-typed-exact	v06-family-3bb42b17aa5fdf21	synodal:pronoun:wikt-abc6b7472112	инъ	pronoun	и҆́но	61	pronoun:accusative:singular:neuter:none:inanimate	review:v03:abc6b7472112	v06-ud-6e73c2396670170a	v06-target-2b9e6a63ce96bff2	synodal:candidate:a1a70d90bf80a82eae405401	Acts.12.17	Acts.17.21	61	61		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-022857f7f8c678a0	admitted	source-typed-exact	v06-family-ef8e848ce717ee09	synodal:adjective:wikt-f2a9817d8801	добръ	adjective	до́брѣ	130	adjective:dative:singular:feminine:any:short:positive	review:v03:f2a9817d8801	v06-ud-61f96896d8c066a8	v06-target-a701f1a49049956a	synodal:candidate:b26c4d9f4377c829edd62153	Acts.10.33	Acts.25.10	130	130		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-022cd954869b2719	admitted	source-typed-exact	v06-family-aef8ae43654d25b5	synodal:verb:v06-7572c074fcdb7753	подобати	verb	подоба́етъ	261	present:third:singular	review:v06:7572c074fcdb7753	v06-ud-011b47e2715e5df6	v06-target-7a687ff460f64380	synodal:candidate:bdb872e3e09b31bfe441f532	Acts.1.21	Acts.3.21	261	261		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-0288528935dd72c5	admitted	source-typed-exact	v06-family-9b079522ef514db2	synodal:verb:dati	дати	verb	дано̀	50	participle:past:passive:nominative:singular:neuter:any:short:positive		v06-ud-3c1cdd5db7d27738	v06-target-2476fb304b018502	synodal:candidate:83c7b4632cda8707c9eacec0	Apoc.6.4	Apoc.13.15	50	50		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-034139c94e3c06e2	admitted	source-typed-exact	v06-family-9b079522ef514db2	synodal:verb:dati	дати	verb	да́на	42	participle:past:passive:nominative:singular:feminine:any:short:positive		v06-ud-50b7c18851b602de	v06-target-7b4b0953fa1a6dcf	synodal:candidate:860aa4974080e1522a81974c	Deut.34.1	Gen.14.14	42	42		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-0357d85472140ae3	admitted	source-typed-exact	v06-family-9b079522ef514db2	synodal:verb:dati	дати	verb	да́нъ	45	participle:past:passive:nominative:singular:masculine:any:short:positive		v06-ud-277f3c910afda811	v06-target-18ba24e4aef32861	synodal:candidate:65bb0e50d1acd06f828874b3	Apoc.6.2	Gen.30.6	45	45		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-03a1ca3817d4918e	admitted	source-typed-exact	v06-family-d9f1cbc50eca03a2	synodal:verb:wikt-c128aea92a1f	избити	verb	и҆збѝ	103	past:third:singular	review:v03:c128aea92a1f	v06-ud-164867cce776f81f	v06-target-7a59b4514cc04bc4	synodal:candidate:2b942dc6d83f21064bb5ef3f	Composite.6.9	Deut.4.46	103	103		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-03f1e9684b6feafc	admitted	source-typed-exact	v06-family-ca3cf09618d3461f	synodal:verb:wikt-0e30b392f62c	избавити	verb	и҆зба́ви	204	past:second:singular	review:v03:0e30b392f62c	v06-ud-094fd933a7363196	v06-target-0fd75cd0d3e4a79e	synodal:candidate:0f96a0fdc51eaa0c8ea46e51	Baruch.2.14	Dan.3.88	0	204		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-041a24085cb6c980	admitted	source-typed-exact	v06-family-3bcb973811741149	synodal:verb:wikt-070505e82800	хотѣти	verb	хотѧ̀	60	participle:present:active:nominative:singular:masculine:any:short:positive	review:v03:070505e82800	v06-ud-affd36cd6d365303	v06-target-66b97b04d5cd8d80	synodal:candidate:7ea32eeea41df7c4f77bdc6f	Acts.12.4	Acts.20.7	60	60		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-04b37aa4e6a07482	admitted	source-typed-exact	v06-family-d8c5006e8e55aca6	synodal:noun:wikt-f5010315b352	пѣснь	noun	пѣ́сни	44	noun:nominative:plural:inanimate	review:v03:f5010315b352	v06-ud-e234c2397b50e20d	v06-target-8bce8df45e88dd75	synodal:candidate:31399ec73106f22954111d81	Amos.5.23	Apoc.14.3	0	44		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
