historical_review_id	lexeme_id	lemma	obsolete_cell	printed	decision	replacement_cells	source_passage	evaluation_passage	review_note
v06-exact-03a1ca3817d4918e	synodal:verb:wikt-c128aea92a1f	избити	past:third:singular	и҆збѝ	reclassified-aorist	aorist:third:singular	Composite.6.9	Deut.4.46	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-03f1e9684b6feafc	synodal:verb:wikt-0e30b392f62c	избавити	past:second:singular	и҆зба́ви	reclassified-aorist	aorist:second:singular	Baruch.2.14	Dan.3.88	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-10218100608d9852	synodal:verb:wikt-f641099e2194	познати	past:first:singular	позна́хъ	reclassified-aorist	aorist:first:singular	Ezek.10.20	Amos.3.2	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-1355d2d005485a9c	synodal:verb:wikt-0e30b392f62c	избавити	past:third:singular	и҆зба́ви	reclassified-aorist	aorist:third:singular	Baruch.2.14	Dan.3.88	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-1bfbe067a17bb733	synodal:verb:wikt-16664aa52c77	стати	past:third:singular	ста̀	reclassified-aorist	aorist:third:singular	Acts.3.8	Dan.7.5	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-1d265df2b6a0b2b3	synodal:verb:v06-a7b239a702ce4216	повелѣти	past:first:singular	повелѣ́хъ	reclassified-aorist	aorist:first:singular	Acts.25.17	Deut.17.3	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-206a4cdecc4a38cd	synodal:verb:v06-bba31c88723cae5c	жити	past:third:singular	живѝ	historical-invalid		Amos.7.12	Dan.6.21	Amos 7:12 and Dan 6:21 use живи as an imperative, not a finite past form; the historical admission is removed.
v06-exact-25d34052baeaf4ee	synodal:verb:wikt-332544509d0c	принести	past:second:singular	принесѐ	reclassified-aorist	aorist:second:singular	Acts.4.37	Ex.32.6	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-27ba63157f396bde	synodal:verb:wikt-cab2350c2b15	вѣровати	past:third:singular	вѣ́рова	reclassified-aorist	aorist:third:singular	Acts.8.13	Acts.13.12	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-29ab63299708d734	synodal:verb:wikt-e00c0a63fc09	нарещи	past:second:singular	наречѐ	reclassified-aorist	aorist:second:singular	Dan.5.12	Ex.2.22	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-2b60f46e88d4822a	synodal:verb:wikt-2dc4ff592b84	родити	past:third:singular	родѝ	reclassified-aorist	aorist:third:singular	Apoc.12.5	Acts.7.8	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-2b9a07e5555b7b15	synodal:verb:v06-8673185ecc70a12e	прїѧти	past:third:singular	прїѧ̀	reclassified-aorist	aorist:third:singular	Dan.5.31	II_Esdra.4.61	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-2e3e74b08a4fc3af	synodal:verb:wikt-78da2d05497d	видѣти	past:first:singular	ви́дѣхъ	reclassified-aorist	aorist:first:singular	Acts.11.6	Acts.7.34	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-323a55c47b65303b	synodal:verb:wikt-78da2d05497d	видѣти	past:second:plural	ви́дѣсте	reclassified-aorist	aorist:second:plural	Acts.1.11	Deut.29.2	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-346efea007828afb	synodal:verb:v06-8673185ecc70a12e	прїѧти	past:second:singular	прїѧ̀	reclassified-aorist	aorist:second:singular	Dan.5.31	II_Esdra.4.61	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-353bad3ea87bba7d	synodal:verb:wikt-c983b0c026d8	бѣжати	past:third:singular	Бѣжа́	reclassified-aorist	aorist:third:singular	Acts.7.29	Acts.7.29	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-394705a0441064e5	synodal:verb:v06-a7b239a702ce4216	повелѣти	past:third:singular	повелѣ̀	reclassified-aorist	aorist:third:singular	Acts.1.4	Acts.21.33	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-3a3b6193679c4dea	synodal:verb:v06-bba31c88723cae5c	жити	past:third:singular	жи́ви	historical-invalid		Deut.5.3	Ezek.18.32	Deut 5:3 uses живи as a short plural predicate and Ezek 18:32 as an imperative; neither context licenses finite past.
