id	lemma	pos	gender	anim	class	stress	stems	overrides	variants	src	note
ааларь.n	а҆ала́рь	n	m	anim	N1j	a	-	-	-	P:N1j	persn
аарѡнъ.n	а҆арѡ́нъ	n	m	anim	N1t	a	-	-	-	P:N1t	persn
аасѳиръ.n	а҆асѳи́ръ	n	m	anim	N1t	a	-	-	-	P:N1t	persn
аваддѡнъ.n	а҆ва́ддѡнъ	n	m	anim	N1t	a	-	-	-	P:N1t	persn
авадъ.n	а҆ва́дъ	n	m	anim	N1t	a	-	-	-	P:N1t	persn
авадіа.n	а҆ваді́а	n	m	anim	N3e	a	-	-	-	P:N3e	persn
авана.n	а҆вана̀	n	f	inan	N3t	b	-	-	-	P:N3t	topn
аварімъ.n	а҆варі́мъ	n	m	inan	N1t	a	-	-	-	P:N1t	topn
аватазъ.n	а҆вата́зъ	n	m	anim	N1t	a	-	-	-	P:N1t	persn
авва.n	а҆́вва	n	m	anim	N3t	a	-	-	-	P:N3t	-
аввакѵръ.n	а҆ввакѵ́ръ	n	m	anim	N1t	a	-	-	-	P:N1t	persn
аввакꙋмъ.n	а҆ввакꙋ́мъ	n	m	anim	N1t	a	-	-	-	P:N1t	persn
аввама.n	а҆ввама̀	n	f	inan	N3t	b	-	-	-	P:N3t	topn
авдактъ.n	а҆вда́ктъ	n	m	anim	N1t	a	-	-	-	P:N1t	persn
авдедомъ.n	а҆вдедо́мъ	n	m	anim	N1t	a	-	-	-	P:N1t	persn
авдемелехъ.n	а҆вдемеле́хъ	n	m	anim	N1g	a	-	-	-	P:N1g	persn
авдій.n	а҆вді́й	n	m	anim	N1i	a	-	-	-	P:N1i	persn
авдѡнъ.n	а҆вдѡ́нъ	n	m	anim	N1t	a	-	-	nom.sg=а҆вдо́нъ	P:N1t	topn
аведдаръ.n	а҆ведда́ръ	n	m	anim	N1t	a	-	-	-	P:N1t	persn
аведиръ.n	а҆веди́ръ	n	m	anim	N1t	a	-	-	-	P:N1t	persn
аведъ.n	а҆ве́дъ	n	m	anim	N1t	a	-	-	-	P:N1t	persn
авелмаінъ.n	а҆велмаі́нъ	n	m	inan	N1t	a	-	-	-	P:N1t	topn
авелмаꙋла.n	а҆велмаꙋ́ла	n	m	inan	N3t	a	-	-	-	P:N3t	topn
авель.n	а҆ве́ль	n	m	inan	N1j	a	-	-	-	P:N1j	topn
авель.n.2	а҆́вель	n	m	anim	N1j	a	-	loc.sg=а҆́велѣ	-	P:N1j	persn
авенезеръ.n	а҆венезе́ръ	n	m	inan	N1t	a	-	-	-	P:N1t	topn
авениръ.n	а҆вени́ръ	n	m	anim	N1t	a	-	-	nom.sg=а҆вені́ръ;dat.sg=а҆вені́рꙋ	P:N1t	persn
аверкій.n	а҆ве́ркій	n	m	anim	N1i	a	-	-	-	P:N1i	persn
аверъ.n	а҆ве́ръ	n	m	anim	N1t	a	-	-	-	P:N1t	persn
авесаломъ.n	а҆весало́мъ	n	m	anim	N1t	a	1=авессалом	nom.sg=а҆весало́мъ;gen.sg=а҆вессалѡ́ма;dat.sg=а҆вессалѡ́мꙋ;acc.sg=а҆вессалѡ́ма;ins.sg=а҆вессалѡ́момъ;loc.sg=а҆вессалѡ́мѣ;voc.sg=а҆вессалѡ́ме	-	P:N1t	persn; headword а҆вессалѡ́мъ
авесса.n	а҆ве́сса	n	m	anim	N3t	a	-	-	-	P:N3t	persn
авилиніа.n	а҆вилині́а	n	f	inan	N3e	a	-	ins.sg=а҆вілині́ею	-	P:N3e	topn
авлавій.n	а҆вла́вій	n	m	anim	N1i	a	-	ins.sg=а҆ѵла́вїемъ	dat.sg=а҆ѵла́вїю	P:N1i	persn
авлазеръ.n	а҆влазе́ръ	n	m	anim	N1t	a	-	-	-	P:N1t	persn
авраамъ.n	а҆враа́мъ	n	m	anim	N1t	a	-	-	-	P:N1t	persn
авраамій.n	а҆враа́мій	n	m	anim	N1i	a	-	-	-	P:N1i	persn
аврамъ.n	а҆вра́мъ	n	m	anim	N1t	a	-	-	-	P:N1t	persn
аврамій.n	а҆вра́мій	n	m	anim	N1i	a	-	-	-	P:N1i	persn
аврѡнъ.n	а҆врѡ́нъ	n	m	inan	N1t	a	-	-	-	P:N1t	topn
авіа.n	а҆віа̀	n	f	anim	N3e	a	-	-	-	P:N3e	persn
авіа.n.2	а҆ві́а	n	m	anim	N3e	a	-	-	-	P:N3e	persn
авіанъ.n	а҆віа́нъ	n	m	anim	N1t	a	-	-	-	P:N1t	persn
авіасаръ.n	а҆віаса́ръ	n	m	anim	N1t	a	-	-	-	P:N1t	persn
авіаѳаръ.n	а҆віа́ѳаръ	n	m	anim	N1t	a{loc.sg=L}	-	-	nom.sg=а҆вїаѳа́ръ;gen.sg=а҆вїаѳа́ра;dat.sg=а҆вїаѳа́рꙋ;acc.sg=а҆вїаѳа́ра	P:N1t	persn
авівъ.n	а҆ві́въ	n	m	anim	N1t	a	-	-	gen.sg=а҆ви́ва;acc.sg=а҆ви́ва	P:N1t	persn
авігеа.n	а҆віге́а	n	f	anim	N3e	a	-	-	-	P:N3e	persn
авіда.n	а҆віда̀	n	m	anim	N3t	b	-	-	-	P:N3t	persn
авіданъ.n	а҆віда́нъ	n	m	anim	N1t	a	-	-	-	P:N1t	persn
авідъ.n	а҆ві́дъ	n	m	anim	N1t	a	-	-	-	P:N1t	persn
авіезеръ.n	а҆віезе́ръ	n	m	anim	N1t	a	-	-	-	P:N1t	persn
авімаилъ.n	а҆вімаи́лъ	n	m	anim	N1t	a	-	-	-	P:N1t	persn
авімеилъ.n	а҆вімеи́лъ	n	m	anim	N1t	a	-	-	-	P:N1t	persn
авімелехъ.n	а҆вімеле́хъ	n	m	anim	N1g	a	-	-	-	P:N1g	persn
авімъ.n	а҆ві́мъ	n	m	anim	N1t	a	-	-	-	P:N1t	persn
авірѡнъ.n	а҆вірѡ́нъ	n	m	anim	N1t	a	-	-	gen.sg=а҆віро́на;acc.sg=а҆віро́на	P:N1t	persn
авісага.n	а҆віса́га	n	f	anim	N3k	a	-	-	-	P:N3k	persn
авісафъ.n	а҆віса́фъ	n	m	anim	N1t	a	-	-	-	P:N1t	persn
авісꙋй.n	а҆вісꙋ́й	n	m	anim	N1e	a	-	-	-	P:N1e	persn
авісꙋръ.n	а҆вісꙋ́ръ	n	m	anim	N1t	a	-	-	-	P:N1t	persn
авітала.n	а҆віта́ла	n	f	anim	N3t	a	-	-	-	P:N3t	persn
авіхаилъ.n	а҆віхаи́лъ	n	m	anim	N1t	a	-	-	-	P:N1t	persn
авіꙋдъ.n	а҆віꙋ́дъ	n	m	anim	N1t	a	-	-	-	P:N1t	persn
авѡръ.n	а҆вѡ́ръ	n	m	inan	N1t	a	-	-	-	P:N1t	topn
