measure	direction	value	sealed_at	justification
summary:top_k_analyzed	at-least	990023	v0.12-wave-7	Strict top-k recall may not fall. The v0.11 program keeps driving this toward 100%. v0.12 wave 7: the first seal attempt briefly carried two exact rows memorising held-out types; the memorised ceiling caught it, the rows were reverted, and this ratchet value is reduced to the honest post-revert actual.
summary:top_1_analyzed	at-least	619520	v0.12-wave-12	Regression guard only. Raw top-1 requires exactly one analysis, so genuine syncretism caps it; it is never an objective and may only fall with a stated syncretism justification. v0.12 wave 7: the first seal attempt briefly carried two exact rows memorising held-out types; the memorised ceiling caught it, the rows were reverted, and this ratchet value is reduced to the honest post-revert actual. v0.12 wave 8 (-327): the new noun paradigms model genuine case syncretism (пасхи is genitive singular and nominative plural; the жена and законъ plural scopes add readings to previously single-reading tokens), so exactly-one-analysis tokens fell while lemma-unique coverage rose. v0.12 wave 12 (-120): the Alypy §95 contracted present participle nominative (-ый/-ѧй) adds a second reading to tokens that previously had exactly one, and the -еа extension of the postvocalic а-declension adds genuine и-syncretism (галїле́и is genitive and dative); no analysis was removed.
integrity:lemma_unique_analyzed	at-least	980231	v0.12-wave-7	Tokens resolving to exactly one lexical identity. Unlike top-1 this is not capped by syncretism, so a fall means real identity ambiguity was introduced. v0.12 wave 7: the first seal attempt briefly carried two exact rows memorising held-out types; the memorised ceiling caught it, the rows were reverted, and this ratchet value is reduced to the honest post-revert actual.
integrity:morphologically_typed_analyzed	at-least	940277	v0.12-wave-7	Covered tokens carrying at least one inflectable cell. Coverage growth must land here. v0.12 wave 7: the first seal attempt briefly carried two exact rows memorising held-out types; the memorised ceiling caught it, the rows were reverted, and this ratchet value is reduced to the honest post-revert actual.
integrity:morphology_free_analyzed	at-most	49746	v0.11-phase-1	Covered tokens whose every reading is lexical-form. This is the cheapest route to coverage and teaches the engine nothing; the ceiling must fall over the program, never rise.
system:adjective	at-least	24485	v0.11-phase-1	Per-system floor: aggregate coverage may not be purchased by losing a morphological system.
system:aorist	at-least	49249	v0.11-phase-1	Per-system floor: aggregate coverage may not be purchased by losing a morphological system.
system:compound-cardinal-word	at-least	4300	v0.11-phase-1	Per-system floor: aggregate coverage may not be purchased by losing a morphological system.
system:cyrillic-numeral	at-least	197	v0.11-phase-1	Per-system floor: aggregate coverage may not be purchased by losing a morphological system.
system:determiner	at-least	17204	v0.11-phase-1	Per-system floor: aggregate coverage may not be purchased by losing a morphological system.
system:future	at-least	18070	v0.11-phase-1	Per-system floor: aggregate coverage may not be purchased by losing a morphological system.
system:imperative	at-least	5730	v0.12-wave-8	Per-system floor: aggregate coverage may not be purchased by losing a morphological system. v0.12 wave 8 (-8): пристꙋпи́те-type tokens now carry a future second-plural reading that typed-first attribution lists before the imperative; no imperative reading was removed.
system:imperfect	at-least	7086	v0.11-phase-1	Per-system floor: aggregate coverage may not be purchased by losing a morphological system.
system:indeclinable	at-least	371120	v0.12-wave-1	Per-system floor: aggregate coverage may not be purchased by losing a morphological system. v0.12 wave 1 re-sealed for the same typed-first attribution as system:lexical-form; no indeclinable reading was removed.
system:infinitive	at-least	4408	v0.11-phase-1	Per-system floor: aggregate coverage may not be purchased by losing a morphological system.
system:l-participle	at-least	2382	v0.11-phase-1	Per-system floor: aggregate coverage may not be purchased by losing a morphological system.
system:lexical-form	at-most	49176	v0.12-wave-2	Tokens attributed to a lexical-form reading because no typed reading exists for them. Under typed-first attribution this is the cheap residue, so like integrity:morphology_free_analyzed it is a ceiling that must fall over the program, never rise; it does fall whenever a reviewed headword gains real morphology.
system:noun	at-least	208543	v0.12-wave-7	Per-system floor: aggregate coverage may not be purchased by losing a morphological system. v0.12 wave 7: the first seal attempt briefly carried two exact rows memorising held-out types; the memorised ceiling caught it, the rows were reverted, and this ratchet value is reduced to the honest post-revert actual.
system:numeral	at-least	10045	v0.11-phase-1	Per-system floor: aggregate coverage may not be purchased by losing a morphological system.
system:past-active-participle	at-least	2876	v0.11-phase-1	Per-system floor: aggregate coverage may not be purchased by losing a morphological system.
system:past-passive-participle	at-least	1040	v0.11-phase-1	Per-system floor: aggregate coverage may not be purchased by losing a morphological system.
system:present	at-least	30036	v0.11-phase-1	Per-system floor: aggregate coverage may not be purchased by losing a morphological system.
system:present-active-participle	at-least	7553	v0.11-phase-1	Per-system floor: aggregate coverage may not be purchased by losing a morphological system.
system:present-passive-participle	at-least	31	v0.11-phase-1	Per-system floor: aggregate coverage may not be purchased by losing a morphological system.
system:pronoun	at-least	176492	v0.11-phase-1	Per-system floor: aggregate coverage may not be purchased by losing a morphological system.
system:unresolved	at-least	0	v0.11-phase-1	Per-system floor: aggregate coverage may not be purchased by losing a morphological system.
system:verbal-noun	at-least	0	v0.11-phase-1	Per-system floor: aggregate coverage may not be purchased by losing a morphological system.
holdout:top_k_analyzed	at-least	30013	v0.12-wave-7	Strict top-k over the type-disjoint holdout. This is the only measure here that shows generalisation to types the reviewed data has never seen, and it may not fall. v0.12 wave 7: the first seal attempt briefly carried two exact rows memorising held-out types; the memorised ceiling caught it, the rows were reverted, and this ratchet value is reduced to the honest post-revert actual.
holdout:memorised_analyzed	at-most	14998	v0.11-phase-2	Held-out tokens covered by an exact row citing the held-out type itself. These predate the holdout and are grandfathered; the ceiling forces new evidence away from held-out types instead of memorising them.
holdout:generalised_analyzed	at-least	13956	v0.11-phase-2	Held-out tokens reached by normative table, productive rule, or irregular override rather than by a row naming the type. Coverage growth on the holdout must land here.
integrity:cross_lexeme_ambiguous	at-most	9792	v0.12-wave-12	Tokens whose readings span more than one lexeme. Genuine homonymy is real and stays, but a duplicated identity raises this while making the analyzer worse, and one shipped on this branch before the ceiling existed. New homonymy now needs a stated justification. v0.12 wave 1 (+18): the Alypy §73 reflexive derivation inherits its host's readings, so a host that already spans two lexemes yields a two-lexeme reflexive reading; no identity was added. v0.12 wave 5 (+120): the productive послꙋшати admission was merged onto the reviewed identity wikt-bbe1760d7910, but the immutable v0.6 past-classification record pins one aorist print to the duplicate v06-72858c58897d9d01, so послꙋ́ша keeps two identities until the identity-merge wave. v0.12 wave 9 (+90): живы́й is both the long adjective живъ and the present active participle of the promoted жити — genuine homonymy between two reviewed identities, not a duplicate. v0.12 wave 12 (+80): the §95 contracted nominatives are homographic with reviewed long adjectives of the same root (живы́й-type pairs for further verbs), genuine homonymy between reviewed identities; the three candidate duplicates this wave (гробъ, хранити, десный) were merged onto their existing ids before sealing, and a per-surface scan of every wave 11-12 stem shows no duplicated identity remaining.
