rank	frequency	lemma	printed	part_of_speech	cell	gloss	semantic_candidate_id	attestation_candidate_id	passage	context	decision	review_reason
1	6804	во	во	unknown	untyped	иногда	synodal:candidate:400a521556241be9ecd52c2b	synodal:candidate:33e37f9b0806181d0cd0b6b9	Acts.1.7	Рече́ же къ ни̑мъ: нѣ́сть ва́ше разꙋмѣ́ти времена̀ и҆ лѣ̑та, ꙗ҆̀же ѻ҆ц҃ъ положѝ во свое́й вла́сти:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
2	6591	ꙗкѡ	ꙗ҆́кѡ	adverb	indeclinable	how	synodal:candidate:5471d4207f6490854e1f5d0c	synodal:candidate:2ea4e8c66b548f40594ee241	Acts.1.5	ꙗ҆́кѡ і҆ѡа́ннъ ᲂу҆́бѡ крести́лъ є҆́сть водо́ю, вы́ же и҆́мате крести́тисѧ дх҃омъ ст҃ы́мъ не по мно́зѣхъ си́хъ дне́хъ.	candidate-unreviewed	requires human confirmation of target identity, sense continuity, and morphological status
3	2896	єсть	є҆́сть	unknown	untyped	нужно (с дательным падежом), 2. 3 лицо настоящего времени единственного числа от глагола быти	synodal:candidate:89039dd3958c655a5226c2af	synodal:candidate:2ea4e8c66b548f40594ee241	Acts.1.5	ꙗ҆́кѡ і҆ѡа́ннъ ᲂу҆́бѡ крести́лъ є҆́сть водо́ю, вы́ же и҆́мате крести́тисѧ дх҃омъ ст҃ы́мъ не по мно́зѣхъ си́хъ дне́хъ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
4	1975	єже	є҆́же	unknown	untyped	дабы, чтобы, что, если, когда (союз), 2. местоимение иже - который в среднем роде	synodal:candidate:6c0bd2dd5f31fc6273422661	synodal:candidate:f1fd5cb7e8bc638b308a2a0d	Acts.1.4	съ ни́миже и҆ ꙗ҆ды́й повелѣ̀ и҆̀мъ ѿ і҆ерⷭ҇ли́ма не ѿлꙋча́тисѧ, но жда́ти ѡ҆бѣтова́нїѧ ѻ҆́ч҃а, є҆́же слы́шасте ѿ менє̀:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
5	1533	мѧ	мѧ̀	unknown	untyped	меня	synodal:candidate:45b6339369f322eeaf9473e1	synodal:candidate:864b2f8de99b90ca11deb74d	Acts.2.28	сказа́лъ мѝ є҆сѝ пꙋти̑ живота̀: и҆спо́лниши мѧ̀ весе́лїѧ съ лице́мъ твои́мъ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
6	994	сꙋть	сꙋ́ть	unknown	untyped	сущность	synodal:candidate:c24fa809ee71b451fe7f47e8	synodal:candidate:055e5acd1c0cca06e142f320	Acts.2.7	Дивлѧ́хꙋсѧ же всѝ и҆ чꙋдѧ́хꙋсѧ, глаго́люще дрꙋ́гъ ко дрꙋ́гꙋ: не се́ ли, всѝ сі́и сꙋ́ть глаго́лющїи галїле́ане;	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
7	969	ми	мѝ	unknown	untyped	мне	synodal:candidate:32bc8ad16f9621c51be97aef	synodal:candidate:864b2f8de99b90ca11deb74d	Acts.2.28	сказа́лъ мѝ є҆сѝ пꙋти̑ живота̀: и҆спо́лниши мѧ̀ весе́лїѧ съ лице́мъ твои́мъ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
8	696	ю	ю҆̀	unknown	untyped	её	synodal:candidate:8eda773d18492d9639f4b657	synodal:candidate:1024927abf0aecd2d6076da9	Acts.5.10	Паде́ же а҆́бїе пред̾ нога́ма є҆гѡ̀ и҆ и҆́здше: вше́дше же ю҆́нѡши ѡ҆брѣто́ша ю҆̀ ме́ртвꙋ и҆ и҆зне́сше погребо́ша бли́з̾ мꙋ́жа є҆ѧ̀.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
9	443	словеса	словеса̀	unknown	untyped	слова, в переносном смысле - дела, поступки	synodal:candidate:3b09f3a16db56c6892a2008e	synodal:candidate:30c743b74ee49070411acf23	Acts.5.5	Слы́шавъ же а҆на́нїа словеса̀ сїѧ̑, па́дъ и҆́здше: и҆ бы́сть стра́хъ вели́къ на всѣ́хъ слы́шащихъ сїѧ̑.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
10	386	люди	лю́ди	unknown	untyped	люди, свободное население	synodal:candidate:10203b27345112ee047ece5d	synodal:candidate:ef744c65f6b79a666388973f	Acts.5.25	Прише́дъ же нѣ́кто возвѣстѝ и҆̀мъ, глаго́лѧ, ꙗ҆́кѡ сѐ, мꙋ́жїе, и҆̀хже всади́сте въ темни́цꙋ, сꙋ́ть въ це́ркви стоѧ́ще и҆ ᲂу҆ча́ще лю́ди.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
