review_id	label	lexeme_id	baseline_readiness	baseline_effort	decision	realized_unique_tokens	blocker	review_note
v06-spelling-3583b74faa886fbf	дати — давати / данъ	synodal:verb:dati	ready	small	partially-admitted	291	remaining diagnostic spellings lack exact accent/positional evidence or an independently typed cell	Admitted only 5 exact evidence-backed surface(s), realizing 291 tokens; no blanket spelling normalization or accent stripping is enabled.
v06-spelling-bc9f2c4194626951	дати — даꙗти	synodal:verb:dati	ready	small	partially-admitted	291	remaining diagnostic spellings lack exact accent/positional evidence or an independently typed cell	Admitted only 5 exact evidence-backed surface(s), realizing 291 tokens; no blanket spelling normalization or accent stripping is enabled.
v06-spelling-2973194ecf883a89	дѣлати	synodal:verb:wikt-b132885ebd57	ready	small	deferred	0	diagnostic spelling relation lacks exact printed accent/positional evidence and an independently supported typed cell	Explicitly reviewed and deferred; corpus similarity is insufficient to create a spelling transformation.
v06-spelling-ab17c73213c71969	лице	synodal:noun:wikt-bcfe43fd2077	ready	small	partially-admitted	240	remaining diagnostic spellings lack exact accent/positional evidence or an independently typed cell	Admitted only 2 exact evidence-backed surface(s), realizing 240 tokens; no blanket spelling normalization or accent stripping is enabled.
v06-spelling-8cb2c6ac288be9ad	тои — тыѧ	synodal:pronoun:toi	ready	small	deferred	0	diagnostic spelling relation lacks exact printed accent/positional evidence and an independently supported typed cell	Explicitly reviewed and deferred; corpus similarity is insufficient to create a spelling transformation.
v06-spelling-4a67444366b491fd	азъ — мы	synodal:pronoun:az	ready	small	partially-admitted	125	remaining diagnostic spellings lack exact accent/positional evidence or an independently typed cell	Admitted only 1 exact evidence-backed surface(s), realizing 125 tokens; no blanket spelling normalization or accent stripping is enabled.
v06-spelling-b57e24a0c2b6354e	народъ	synodal:noun:narod	ready	small	deferred	0	diagnostic spelling relation lacks exact printed accent/positional evidence and an independently supported typed cell	Explicitly reviewed and deferred; corpus similarity is insufficient to create a spelling transformation.
v06-spelling-6a6bd07db7b0d70b	жизнь	synodal:noun:zhizn	ready	small	partially-admitted	114	remaining diagnostic spellings lack exact accent/positional evidence or an independently typed cell	Admitted only 1 exact evidence-backed surface(s), realizing 114 tokens; no blanket spelling normalization or accent stripping is enabled.
v06-spelling-c2bb9b626607a4d6	село	synodal:noun:selo	ready	small	partially-admitted	107	remaining diagnostic spellings lack exact accent/positional evidence or an independently typed cell	Admitted only 1 exact evidence-backed surface(s), realizing 107 tokens; no blanket spelling normalization or accent stripping is enabled.
v06-spelling-dea119aae1284698	сила	synodal:noun:sila	ready	small	partially-admitted	106	remaining diagnostic spellings lack exact accent/positional evidence or an independently typed cell	Admitted only 1 exact evidence-backed surface(s), realizing 106 tokens; no blanket spelling normalization or accent stripping is enabled.
v06-spelling-62a7834944b50c8b	любити	synodal:verb:lyubiti	ready	small	partially-admitted	52	remaining diagnostic spellings lack exact accent/positional evidence or an independently typed cell	Admitted only 1 exact evidence-backed surface(s), realizing 52 tokens; no blanket spelling normalization or accent stripping is enabled.
v06-spelling-c5919b0b34ec8f29	сей	synodal:pronoun:sei	ready	small	deferred	0	diagnostic spelling relation lacks exact printed accent/positional evidence and an independently supported typed cell	Explicitly reviewed and deferred; corpus similarity is insufficient to create a spelling transformation.
v06-spelling-2cab9e1b89dd745f	свѣтъ	synodal:noun:svet	ready	small	partially-admitted	42	remaining diagnostic spellings lack exact accent/positional evidence or an independently typed cell	Admitted only 1 exact evidence-backed surface(s), realizing 42 tokens; no blanket spelling normalization or accent stripping is enabled.
v06-spelling-8c9d1224ae2c504a	глава	synodal:noun:glava	ready	small	deferred	0	diagnostic spelling relation lacks exact printed accent/positional evidence and an independently supported typed cell	Explicitly reviewed and deferred; corpus similarity is insufficient to create a spelling transformation.
v06-spelling-80c10752eacb2844	сотворити	synodal:verb:sotvoriti	ready	small	deferred	0	diagnostic spelling relation lacks exact printed accent/positional evidence and an independently supported typed cell	Explicitly reviewed and deferred; corpus similarity is insufficient to create a spelling transformation.
v06-spelling-8eae90e5e96cb43c	день	synodal:noun:day	ready	small	deferred	0	diagnostic spelling relation lacks exact printed accent/positional evidence and an independently supported typed cell	Explicitly reviewed and deferred; corpus similarity is insufficient to create a spelling transformation.
v06-spelling-9fd0308342bb9286	любовь	synodal:noun:lyubov	ready	small	deferred	0	diagnostic spelling relation lacks exact printed accent/positional evidence and an independently supported typed cell	Explicitly reviewed and deferred; corpus similarity is insufficient to create a spelling transformation.
v06-spelling-1b067970ff333cfa	бо	synodal:conjunction:wikt-b8c98d0a9447	ready	small	deferred	0	diagnostic spelling relation lacks exact printed accent/positional evidence and an independently supported typed cell	Explicitly reviewed and deferred; corpus similarity is insufficient to create a spelling transformation.
