lexeme_id	system	cell_set	evidence_id	target_recension
synodal:verb:byti	present	data/synodal/exact_forms.tsv	alypy-81-byti-present	synodal-russian
synodal:verb:byti	aorist	data/synodal/exact_forms.tsv	alypy-81-byti-aorist	synodal-russian
synodal:verb:byti	imperfect	data/synodal/exact_forms.tsv	alypy-81-byti-imperfect	synodal-russian
synodal:verb:byti	imperative	data/synodal/exact_forms.tsv	alypy-81-byti-imperative	synodal-russian
synodal:verb:imati	present	data/synodal/exact_forms.tsv	alypy-85-imati-future	synodal-russian
synodal:verb:wikt-06af096688df	future	data/synodal/exact_forms.tsv	alypy-104-reshchi	synodal-russian
synodal:verb:wikt-06af096688df	aorist	data/synodal/exact_forms.tsv	alypy-104-reshchi	synodal-russian
synodal:verb:wikt-06af096688df	imperative	data/synodal/exact_forms.tsv	alypy-104-reshchi	synodal-russian
synodal:noun:syn	noun-singular-dative-and-plural	data/synodal/exact_forms.tsv	alypy-37-synovi,alypy-37-synove,alypy-37-synov-oblique	synodal-russian
synodal:verb:wikt-0c6c8db63b7c	present	data/synodal/exact_forms.tsv	alypy-103-imeti-present	synodal-russian
synodal:verb:wikt-0c6c8db63b7c	imperative	data/synodal/exact_forms.tsv	alypy-103-imeti-imperative	synodal-russian
synodal:verb:wikt-6ceeefbe4e9e	present	data/synodal/exact_forms.tsv	alypy-103-yasti-present	synodal-russian
synodal:verb:wikt-6ceeefbe4e9e	imperative	data/synodal/exact_forms.tsv	alypy-103-yasti-imperative	synodal-russian
synodal:verb:wikt-8a084860d2ef	present	data/synodal/exact_forms.tsv	alypy-103-vedeti-present	synodal-russian
synodal:verb:wikt-8a084860d2ef	imperative	data/synodal/exact_forms.tsv	alypy-103-vedeti-imperative	synodal-russian
synodal:verb:imati	imperative	data/synodal/exact_forms.tsv	alypy-103-imati-imperative	synodal-russian
