rank	status	kind	normalized	sample	token_frequency	document_frequency	corpora	source_ids	partitions	candidate_lexeme_ids	requested_morphological_system	missing_metadata	contexts	suggested_action
1	unresolved	unknown-lexeme	нимиже	ни́миже	2	2	Elizabeth Bible corpus	ponomar-elizabeth-bible-2026-08-09	evaluation,source				ponomar-elizabeth-bible-2026-08-09:Acts.1.3@Acts.1.3:1:7 пред̾ ни́миже и҆ пост | ponomar-elizabeth-bible-2026-08-09:Acts.1.4@Acts.1.4:1:4 съ ни́миже и҆ ꙗ҆ды	review the token against target-recension evidence and create or reject a lexical candidate
2	unresolved	unknown-lexeme	апⷭ҇лъ	а҆пⷭ҇лъ	1	1	Church Slavonic Bible corpus	wikisource-church-slavonic-bible-2026-08-09	source				wikisource-church-slavonic-bible-2026-08-09:Col.1.1@Col.1.1:1:10 Па́ѵелъ, а҆пⷭ҇лъ і҆и҃съ	review the token against target-recension evidence and create or reject a lexical candidate
3	unresolved	unknown-lexeme	апⷭ҇лѡмъ	а҆пⷭ҇лѡмъ	1	1	Elizabeth Bible corpus	ponomar-elizabeth-bible-2026-08-09	evaluation				ponomar-elizabeth-bible-2026-08-09:Acts.1.2@Acts.1.2:1:36 овѣ́давъ а҆пⷭ҇лѡмъ дх҃омъ	review the token against target-recension evidence and create or reject a lexical candidate
4	unresolved	unknown-lexeme	бж҃їею	бж҃їею	1	1	Church Slavonic Bible corpus	wikisource-church-slavonic-bible-2026-08-09	source				wikisource-church-slavonic-bible-2026-08-09:Col.1.1@Col.1.1:1:42 ъ во́лею бж҃їею, и҆ тїм	review the token against target-recension evidence and create or reject a lexical candidate
5	unresolved	unknown-lexeme	благодаримъ	Благодари́мъ	1	1	Church Slavonic Bible corpus	wikisource-church-slavonic-bible-2026-08-09	source				wikisource-church-slavonic-bible-2026-08-09:Col.1.3@Col.1.3:1:71 хрⷭ҇та̀. Благодари́мъ бг҃а и҆	review the token against target-recension evidence and create or reject a lexical candidate
6	unresolved	unknown-lexeme	бл҃говѣствованїѧ	бл҃говѣствова́нїѧ	1	1	Church Slavonic Bible corpus	wikisource-church-slavonic-bible-2026-08-09	source				wikisource-church-slavonic-bible-2026-08-09:Col.1.5@Col.1.5:1:89 и҆́стины бл҃говѣствова́нїѧ,	review the token against target-recension evidence and create or reject a lexical candidate
7	unresolved	unknown-lexeme	воньже	во́ньже	1	1	Elizabeth Bible corpus	ponomar-elizabeth-bible-2026-08-09	evaluation				ponomar-elizabeth-bible-2026-08-09:Acts.1.2@Acts.1.2:1:15 до днѐ, во́ньже, заповѣ	review the token against target-recension evidence and create or reject a lexical candidate
8	unresolved	unknown-lexeme	вѣрнымъ	вѣ̑рнымъ	1	1	Church Slavonic Bible corpus	wikisource-church-slavonic-bible-2026-08-09	evaluation				wikisource-church-slavonic-bible-2026-08-09:Col.1.2@Col.1.2:1:35 ҃ы̑мъ и҆ вѣ̑рнымъ бра́тїѧ	review the token against target-recension evidence and create or reject a lexical candidate
9	unresolved	unknown-lexeme	ждати	жда́ти	1	1	Elizabeth Bible corpus	ponomar-elizabeth-bible-2026-08-09	source				ponomar-elizabeth-bible-2026-08-09:Acts.1.4@Acts.1.4:1:68 тисѧ, но жда́ти ѡ҆бѣтов	review the token against target-recension evidence and create or reject a lexical candidate
10	unresolved	unknown-lexeme	заповѣдавъ	заповѣ́давъ	1	1	Elizabeth Bible corpus	ponomar-elizabeth-bible-2026-08-09	evaluation				ponomar-elizabeth-bible-2026-08-09:Acts.1.2@Acts.1.2:1:24 во́ньже, заповѣ́давъ а҆пⷭ҇лѡ	review the token against target-recension evidence and create or reject a lexical candidate
11	unresolved	unknown-lexeme	колоссаехъ	колосса́ехъ	1	1	Church Slavonic Bible corpus	wikisource-church-slavonic-bible-2026-08-09	evaluation				wikisource-church-slavonic-bible-2026-08-09:Col.1.2@Col.1.2:1:12 ́щымъ въ колосса́ехъ ст҃ы̑мъ	review the token against target-recension evidence and create or reject a lexical candidate
12	unresolved	unknown-lexeme	крестилъ	крести́лъ	1	1	Elizabeth Bible corpus	ponomar-elizabeth-bible-2026-08-09	source				ponomar-elizabeth-bible-2026-08-09:Acts.1.5@Acts.1.5:1:23 ъ ᲂу҆́бѡ крести́лъ є҆́сть	review the token against target-recension evidence and create or reject a lexical candidate
13	unresolved	unknown-lexeme	креститисѧ	крести́тисѧ	1	1	Elizabeth Bible corpus	ponomar-elizabeth-bible-2026-08-09	source				ponomar-elizabeth-bible-2026-08-09:Acts.1.5@Acts.1.5:1:63 и҆́мате крести́тисѧ дх҃омъ	review the token against target-recension evidence and create or reject a lexical candidate
14	unresolved	unknown-lexeme	молѧщесѧ	молѧ́щесѧ	1	1	Church Slavonic Bible corpus	wikisource-church-slavonic-bible-2026-08-09	source				wikisource-church-slavonic-bible-2026-08-09:Col.1.3@Col.1.3:1:146 ѡ҆ ва́съ молѧ́щесѧ,	review the token against target-recension evidence and create or reject a lexical candidate
15	unresolved	unknown-lexeme	оучити	ᲂу҆чи́ти	1	1	Elizabeth Bible corpus	ponomar-elizabeth-bible-2026-08-09	evaluation				ponomar-elizabeth-bible-2026-08-09:Acts.1.1@Acts.1.1:1:106 ти же и҆ ᲂу҆чи́ти	review the token against target-recension evidence and create or reject a lexical candidate
16	unresolved	unknown-lexeme	паѵелъ	Па́ѵелъ	1	1	Church Slavonic Bible corpus	wikisource-church-slavonic-bible-2026-08-09	source				wikisource-church-slavonic-bible-2026-08-09:Col.1.1@Col.1.1:1:1 Па́ѵелъ, а҆пⷭ҇л	review the token against target-recension evidence and create or reject a lexical candidate
17	unresolved	unknown-lexeme	страданїи	страда́нїи	1	1	Elizabeth Bible corpus	ponomar-elizabeth-bible-2026-08-09	evaluation				ponomar-elizabeth-bible-2026-08-09:Acts.1.3@Acts.1.3:1:41 жи́ва по страда́нїи свое́мъ	review the token against target-recension evidence and create or reject a lexical candidate
18	unresolved	unknown-lexeme	ст҃ымъ	ст҃ы̑мъ	1	1	Church Slavonic Bible corpus	wikisource-church-slavonic-bible-2026-08-09	evaluation				wikisource-church-slavonic-bible-2026-08-09:Col.1.2@Col.1.2:1:24 осса́ехъ ст҃ы̑мъ и҆ вѣ̑р	review the token against target-recension evidence and create or reject a lexical candidate
19	unresolved	unknown-lexeme	тїмоѳей	тїмоѳе́й	1	1	Church Slavonic Bible corpus	wikisource-church-slavonic-bible-2026-08-09	source				wikisource-church-slavonic-bible-2026-08-09:Col.1.1@Col.1.1:1:53 ҃їею, и҆ тїмоѳе́й бра́тъ,	review the token against target-recension evidence and create or reject a lexical candidate
