left_lexeme_id	right_lexeme_id	justification
synodal:adjective:v06-73f4685d4e007ee3	synodal:adjective:blazhenn	frozen historical duplicate that shipped before the cross-lexeme ceiling existed; documented in coverage_floors.tsv
synodal:adjective:wikt-804d9a9cde41	synodal:verb:v06-bba31c88723cae5c	живи is both the adjective живъ plural and the verb жити imperative; genuine cross-part-of-speech homonymy between two reviewed identities
synodal:conjunction:wikt-3fc656e987c2	synodal:interjection:ni	genuine cross-part-of-speech homonymy between two reviewed identities
synodal:conjunction:wikt-3fc656e987c2	synodal:particle:negative-ni	genuine cross-part-of-speech homonymy between two reviewed identities
synodal:particle:negative-ni	synodal:interjection:ni	genuine cross-part-of-speech homonymy between two reviewed identities
synodal:noun:brethren-collective	synodal:noun:brother	братїѧ is the reviewed collective and the plural of братъ; genuine cross-part-of-speech homonymy between two reviewed identities
synodal:noun:human	synodal:adjective:chelovech	человѣче is the noun vocative and a possessive short cell; genuine cross-part-of-speech homonymy between two reviewed identities
synodal:noun:rab	synodal:noun:v07-d2f9096ab3d42fc5	frozen historical duplicate pinned by an immutable v0.6/v0.7 record; awaiting the identity-merge wave
synodal:noun:v06-396b7b7e0bf4e59e	synodal:noun:chudo	frozen historical duplicate pinned by an immutable v0.6/v0.7 record; awaiting the identity-merge wave
synodal:noun:v06-ba5b8abd7b0756e9	synodal:numeral:fractional-pol	поли is the noun поле locative and the fractional пол-; genuine cross-part-of-speech homonymy between two reviewed identities
synodal:noun:v06-tysyashcha	synodal:numeral:tysiascha	тысѧща is reviewed as both noun and numeral; genuine cross-part-of-speech homonymy between two reviewed identities
synodal:noun:wikt-3c771d4eab2b	synodal:numeral:tma	тьма is darkness and the numeral ten-thousand; genuine cross-part-of-speech homonymy between two reviewed identities
synodal:pronoun:chto	synodal:pronoun:v06-a6e60a3f60e607cb	frozen historical duplicate pinned by an immutable v0.6/v0.7 record; awaiting the identity-merge wave
synodal:pronoun:nekto	synodal:pronoun:nekii	нѣкимъ is a shared cell of нѣкто and нѣкїй; genuine cross-part-of-speech homonymy between two reviewed identities
synodal:pronoun:on	synodal:pronoun:v06-7cb9fbdd604c5a70	frozen historical duplicate pinned by an immutable v0.6/v0.7 record; awaiting the identity-merge wave
synodal:pronoun:on	synodal:conjunction:wikt-577896b0cbc6	и is the conjunction and the pronoun accusative; genuine cross-part-of-speech homonymy between two reviewed identities
synodal:pronoun:sebe	synodal:pronoun:wikt-7c6914eff782	frozen historical duplicate pinned by an immutable v0.6/v0.7 record; awaiting the identity-merge wave
