review_id	baseline_rank	batch_id	label	predicted_unique_tokens	decision	realized_unique_tokens	blocker	review_note
v06-abbreviation-27d38e1c1bc24e6e	1	synodal:family-candidate:558f2060babbd8fdf4cbcaf0	ии҃л-	1520	admitted	1520		Admitted as an exact split of the Israel noun/adjective contraction family. Every runtime row has an exact expanded spelling, typed cell, required initial breathing and titlo, normative citation, source-partition witness, and passage-disjoint evaluation; no generic contraction rule is inferred.
v06-abbreviation-a0d31d766dbbc374	3	synodal:family-candidate:dcd30bc38dddb4995d6584b7	іи҃левыхъ	846	admitted	846		Admitted as an exact split of the Israel noun/adjective contraction family. Every runtime row has an exact expanded spelling, typed cell, required initial breathing and titlo, normative citation, source-partition witness, and passage-disjoint evaluation; no generic contraction rule is inferred.
v06-abbreviation-1ed276858193a547	5	synodal:family-candidate:746cbe92458f0b48ab6ddfe1	ии҃лєв-	771	admitted	771		Admitted as an exact split of the Israel noun/adjective contraction family. Every runtime row has an exact expanded spelling, typed cell, required initial breathing and titlo, normative citation, source-partition witness, and passage-disjoint evaluation; no generic contraction rule is inferred.
v06-abbreviation-4c35200e1e233039	6	synodal:family-candidate:7ba618e764bd0f88a3d8512d	іи҃левъ	736	admitted	736		Admitted as an exact split of the Israel noun/adjective contraction family. Every runtime row has an exact expanded spelling, typed cell, required initial breathing and titlo, normative citation, source-partition witness, and passage-disjoint evaluation; no generic contraction rule is inferred.
v06-abbreviation-9338bb58a4106fbb	10	synodal:family-candidate:1fee7bfc919b448e826f92d8	заⷱ҇	585	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	Deferred after review: the target corpus establishes a recurring titlo or superscript surface, but semantic expansion, exact grammatical cells, required marks, and reversibility are not yet independently specified.
v06-abbreviation-2997625cdb747f88	23	synodal:family-candidate:11614a6340cd55c46c979a84	іи҃ль	461	admitted	461		Admitted as an exact split of the Israel noun/adjective contraction family. Every runtime row has an exact expanded spelling, typed cell, required initial breathing and titlo, normative citation, source-partition witness, and passage-disjoint evaluation; no generic contraction rule is inferred.
v06-abbreviation-a87b4a5e864ad292	24	synodal:family-candidate:149e6b45ae1f4092f680fb2d	мцⷭ҇-	431	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	Deferred after v0.5 review: the target corpus establishes the exact marked surface, but the semantic expansion, every compatible typed cell, mark order, positional restrictions, and reverse-registry behavior are not jointly established by independent target-recension evidence.
v06-abbreviation-d26cb72db004c99e	26	synodal:family-candidate:977b02c1e9f88d201396585c	ии҃лев-	419	admitted	419		Admitted as an exact split of the Israel noun/adjective contraction family. Every runtime row has an exact expanded spelling, typed cell, required initial breathing and titlo, normative citation, source-partition witness, and passage-disjoint evaluation; no generic contraction rule is inferred.
v06-abbreviation-c7d87f36207e2fd5	47	synodal:family-candidate:4462e12b6684965c35e15d66	іи҃лєвымъ	318	admitted	318		Admitted as an exact split of the Israel noun/adjective contraction family. Every runtime row has an exact expanded spelling, typed cell, required initial breathing and titlo, normative citation, source-partition witness, and passage-disjoint evaluation; no generic contraction rule is inferred.
v06-abbreviation-c7dbe3f3a7f80496	60	synodal:family-candidate:616b6fa59ce8aa4eaf98458e	іи҃левꙋ	268	admitted	268		Admitted as an exact split of the Israel noun/adjective contraction family. Every runtime row has an exact expanded spelling, typed cell, required initial breathing and titlo, normative citation, source-partition witness, and passage-disjoint evaluation; no generic contraction rule is inferred.
v06-abbreviation-31d4f6d4a4d2596d	67	synodal:family-candidate:1893aac040f4d101c7995197	спⷭ҇ни-	245	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	Deferred after v0.5 structured-route review: the target corpus establishes the marked surface, but semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent target-recension evidence.
v06-abbreviation-8af6faead4d02a93	78	synodal:family-candidate:aee59c5b05f3a7c58c05dce2	мцⷭ҇ъ	209	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	Deferred after v0.5 structured-route review: the target corpus establishes the marked surface, but semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent target-recension evidence.
v06-abbreviation-a32cdc2dd3462226	82	synodal:family-candidate:c65f3c90ce0fc79987f0c494	блгⷣть	204	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	Deferred after v0.5 structured-route review: the target corpus establishes the marked surface, but semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent target-recension evidence.
v06-abbreviation-343d42386d535687	105	synodal:family-candidate:03655b2b74746444e8947f40	блгⷭ҇венъ	156	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	Deferred after v0.5 structured-route review: the target corpus establishes the marked surface, but semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent target-recension evidence.
v06-abbreviation-62ddff631e5e6dd3	118	synodal:family-candidate:8ef3d19dfff65cb6bd173ea1	блгⷭ҇в-	144	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	Deferred after v0.5 structured-route review: the target corpus establishes the marked surface, but semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent target-recension evidence.
v06-abbreviation-0b9309637f944a11	134	synodal:family-candidate:790375969e4162efe39ea476	цр҃ь	128	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	Deferred after v0.5 structured-route review: the target corpus establishes the marked surface, but semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent target-recension evidence.
v06-abbreviation-77bfb1dce48ddd83	146	synodal:family-candidate:3a0543afe2f821a6ea83ced8	сп҃с-	120	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	Deferred after v0.5 structured-route review: the target corpus establishes the marked surface, but semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent target-recension evidence.
v06-abbreviation-a73e21fb76c189b6	167	synodal:family-candidate:626df44ef1832558a950f3fb	нн҃ѣ	1792	admitted	1792		Admitted as the exact indeclinable temporal-adverb contraction нн҃ѣ with titlo required and hostile malformed-mark controls; no reverse or substring replacement is enabled.
v06-abbreviation-2a55f2eebaa9f827	168	synodal:family-candidate:6781aa122838bb1f075cc06d	првⷣн-	105	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	Deferred after v0.5 structured-route review: the target corpus establishes the marked surface, but semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent target-recension evidence.
v06-abbreviation-56a0af0c17873493	177	synodal:family-candidate:fa89609e01c59e4c14678bd6	првⷣныхъ	99	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	Deferred after v0.5 structured-route review: the target corpus establishes the marked surface, but semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent target-recension evidence.
v06-abbreviation-e6125458d45d536c	178	synodal:family-candidate:ea4f1380578b2ee07ca73aaa	бг҃ъ	98	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	Deferred after v0.5 structured-route review: the target corpus establishes the marked surface, but semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent target-recension evidence.
v06-abbreviation-8a43e67432622fa6	179	synodal:family-candidate:f4f74d133ec6a9950f92705b	првⷣнъ	98	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	Deferred after v0.5 structured-route review: the target corpus establishes the marked surface, but semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent target-recension evidence.
v06-abbreviation-4411faa6f6e62446	182	synodal:family-candidate:e20a49bdb7afdd1e58d29ff6	учн҃ц-	96	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	Deferred after v0.5 structured-route review: the target corpus establishes the marked surface, but semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent target-recension evidence.
v06-abbreviation-1e99b6c2671a7a6b	189	synodal:family-candidate:f23aa921e0e260b7714a78ea	цр҃кв-	92	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	Deferred after v0.5 structured-route review: the target corpus establishes the marked surface, but semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent target-recension evidence.
v06-abbreviation-3adf257581f2b604	194	synodal:family-candidate:aeb2f7e463d9588e572c5035	млⷭ҇тивъ	91	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	Deferred after v0.5 structured-route review: the target corpus establishes the marked surface, but semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent target-recension evidence.
v06-abbreviation-75d2e221a27c0c6c	195	synodal:family-candidate:892b36acba55f18810149e30	бл҃гъ	90	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	Deferred after v0.5 structured-route review: the target corpus establishes the marked surface, but semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent target-recension evidence.
v06-abbreviation-b524ea2c4a46c302	198	synodal:family-candidate:83809e3ab328ab16c979fa38	ст҃ын-	89	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	Deferred after v0.5 structured-route review: the target corpus establishes the marked surface, but semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent target-recension evidence.
v06-abbreviation-ff3d9fd7e92c2adf	202	synodal:family-candidate:0615a2dcb1e545c3005cf670	чл҃вѣческїй	86	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	Deferred after v0.5 structured-route review: the target corpus establishes the marked surface, but semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent target-recension evidence.
