rank	kind	normalized	sample	frequency	document_frequency	candidate_lexeme_ids	suggested_action
1	unknown-lexeme	нимиже	ни́миже	2	2		review the token against target-recension evidence and create or reject a lexical candidate
2	ambiguity-or-spelling-variant	имате	и҆́мате	2	2	synodal:verb:imati,synodal:verb:wikt-0c6c8db63b7c	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
3	unknown-lexeme	апⷭ҇лъ	а҆пⷭ҇лъ	1	1		review the token against target-recension evidence and create or reject a lexical candidate
4	unknown-lexeme	апⷭ҇лѡмъ	а҆пⷭ҇лѡмъ	1	1		review the token against target-recension evidence and create or reject a lexical candidate
5	unknown-lexeme	бж҃їею	бж҃їею	1	1		review the token against target-recension evidence and create or reject a lexical candidate
6	unknown-lexeme	благодаримъ	Благодари́мъ	1	1		review the token against target-recension evidence and create or reject a lexical candidate
7	unknown-lexeme	бл҃говѣствованїѧ	бл҃говѣствова́нїѧ	1	1		review the token against target-recension evidence and create or reject a lexical candidate
8	unknown-lexeme	воньже	во́ньже	1	1		review the token against target-recension evidence and create or reject a lexical candidate
9	unknown-lexeme	ждати	жда́ти	1	1		review the token against target-recension evidence and create or reject a lexical candidate
10	unknown-lexeme	заповѣдавъ	заповѣ́давъ	1	1		review the token against target-recension evidence and create or reject a lexical candidate
11	unknown-lexeme	колоссаехъ	колосса́ехъ	1	1		review the token against target-recension evidence and create or reject a lexical candidate
12	unknown-lexeme	крестилъ	крести́лъ	1	1		review the token against target-recension evidence and create or reject a lexical candidate
13	unknown-lexeme	креститисѧ	крести́тисѧ	1	1		review the token against target-recension evidence and create or reject a lexical candidate
14	unknown-lexeme	молѧщесѧ	молѧ́щесѧ	1	1		review the token against target-recension evidence and create or reject a lexical candidate
15	unknown-lexeme	оучити	ᲂу҆чи́ти	1	1		review the token against target-recension evidence and create or reject a lexical candidate
16	unknown-lexeme	паѵелъ	Па́ѵелъ	1	1		review the token against target-recension evidence and create or reject a lexical candidate
17	unknown-lexeme	страданїи	страда́нїи	1	1		review the token against target-recension evidence and create or reject a lexical candidate
18	unknown-lexeme	ст҃ымъ	ст҃ы̑мъ	1	1		review the token against target-recension evidence and create or reject a lexical candidate
19	unknown-lexeme	тїмоѳей	тїмоѳе́й	1	1		review the token against target-recension evidence and create or reject a lexical candidate
20	unknown-lexeme	хрⷭ҇товъ	хрⷭ҇то́въ	1	1		review the token against target-recension evidence and create or reject a lexical candidate
21	unknown-lexeme	ѡбѣтованїѧ	ѡ҆бѣтова́нїѧ	1	1		review the token against target-recension evidence and create or reject a lexical candidate
22	unknown-lexeme	ѳеофїле	ѳео́фїле	1	1		review the token against target-recension evidence and create or reject a lexical candidate
23	unknown-lexeme	ѻч҃а	ѻ҆́ч҃а	1	1		review the token against target-recension evidence and create or reject a lexical candidate
24	unknown-lexeme	ѿложенное	ѿложе́нное	1	1		review the token against target-recension evidence and create or reject a lexical candidate
25	unknown-lexeme	ѿлꙋчатисѧ	ѿлꙋча́тисѧ	1	1		review the token against target-recension evidence and create or reject a lexical candidate
26	unknown-lexeme	ꙗвлѧѧсѧ	ꙗ҆влѧ́ѧсѧ	1	1		review the token against target-recension evidence and create or reject a lexical candidate
27	missing-accent-or-orthographic-metadata	вѣрнымъ	вѣ̑рнымъ	1	1	synodal:adjective:v06-a79476be07ef953c	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
28	missing-accent-or-orthographic-metadata	знаменїихъ	зна́менїихъ	1	1	synodal:noun:v06-673b2df93b4f89a8	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
29	missing-accent-or-orthographic-metadata	слышавше	слы́шавше	1	1	synodal:verb:v12-slyshati	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
