id	lemma	pos	gender	anim	class	stress	stems	overrides	variants	src	note
азъ.pron	азъ	pron	-	-	PPja	-	1=мен;2=мън;3=м	-	1.sg.dat=мьнѣ|мнѣ;1.sg.loc=мьнѣ|мнѣ;1.sg.ins=мноѭ|мьноѭ;1.sg.gen=мне	U:;H:seeded from the UD PROIEL train forms	the first person
богъ.pron	богъ	pron	-	-	PA1	-	-	-	-	U:	tie PA1k,PN,PNk
ва.pron	ва	pron	-	-	PA1a	a	-	2.du.nom=ва;2.du.gen=ваю;2.du.dat=вама;2.du.acc=ва;2.du.ins=вама;2.du.loc=ваѭ	2.du.nom=вꙑ;2.du.acc=вꙑ	U:	-
вашь.pron	вашь	pron	-	-	PA1j	-	-	-	-	U:	tie PA1s,PA1a
вы.pron	вы	pron	-	-	PPvy	-	1=в	-	2.pl.nom=въи;2.pl.acc=въи	U:;H:seeded from the UD PROIEL train forms	-
вьсь.pron	вьсь	pron	-	-	PA1j	a	-	m.pl.nom=вьси;m.pl.gen=вьсѣхъ;m.pl.dat=вьсѣмъ;m.pl.acc=вьсѧ;m.pl.ins=вьсѣми;m.pl.loc=вьсѣхъ;f.sg.nom=вьсѣ;f.sg.acc=въсѫ;f.pl.nom=вьсꙙ;f.pl.gen=вьсѣхъ;f.pl.acc=въсѩ;n.sg.ins=вьсѣмъ;n.sg.loc=всемъ;n.pl.nom=вьсѣ;n.pl.gen=вьсѣхъ;n.pl.dat=всѣмъ;n.pl.acc=вьсѣ;n.pl.ins=вьсѣми;n.pl.loc=вьсѣхъ	m.sg.nom=весь;m.pl.nom=въси|вси;m.pl.gen=всѣхъ;m.pl.dat=вьсѣмь|всѣмъ|въсѣмъ|вьсѣмо;m.pl.acc=вьсꙙ|въсѧ;m.pl.ins=всѣми|въсѣми;m.pl.loc=вьсемь;f.pl.nom=въсѩ;f.pl.acc=вьси|вьсѧ;n.sg.gen=въсего;n.sg.acc=вьсѣ;n.sg.ins=вьсѣмь;n.sg.loc=вьсемъ;n.pl.nom=вьса|всѣ;n.pl.dat=вьсѣмь;n.pl.acc=вьса|въсѣ|всѣ|въса;n.pl.ins=вьсми	U:	tie PA1j*,PA1s,PA1a
вьсѣкъ.pron	вьсѣкъ	pron	-	-	PNk	-	-	-	m.sg.nom=вьсѣкꙑи;m.sg.gen=вьсѣкаѥго;m.sg.dat=вьсѣкоуѥмоу;m.sg.acc=вьсѣкꙑи;m.sg.ins=вьсѣкꙑимь;m.sg.loc=вьсѣцѣѥмь;m.sg.voc=вьсѣкꙑи;m.du.nom=вьсѣкаꙗ;m.du.gen=вьсѣкоую;m.du.dat=вьсѣкꙑима;m.du.acc=вьсѣкаꙗ;m.du.ins=вьсѣкꙑима;m.du.loc=вьсѣкоую;m.du.voc=вьсѣкаꙗ;m.pl.nom=вьсѣции;m.pl.gen=вьсѣкꙑихъ;m.pl.dat=вьсѣкꙑимъ;m.pl.acc=вьсѣкꙑѩ;m.pl.ins=вьсѣкꙑими;m.pl.loc=вьсѣкꙑихъ;m.pl.voc=вьсѣции;f.sg.nom=вьсѣкаꙗ;f.sg.gen=вьсѣкꙑѩ;f.sg.dat=вьсѣцѣи;f.sg.acc=вьсѣкѫѭ;f.sg.ins=вьсѣкѫѭ;f.sg.loc=вьсѣцѣи;f.sg.voc=вьсѣкаꙗ;f.du.nom=вьсѣцѣи;f.du.gen=вьсѣкоую;f.du.dat=вьсѣкꙑима;f.du.acc=вьсѣцѣи;f.du.ins=вьсѣкꙑима;f.du.loc=вьсѣкоую;f.du.voc=вьсѣцѣи;f.pl.nom=вьсѣкꙑѩ;f.pl.gen=вьсѣкꙑихъ;f.pl.dat=вьсѣкꙑимъ;f.pl.acc=вьсѣкꙑѩ;f.pl.ins=вьсѣкꙑими;f.pl.loc=вьсѣкꙑихъ;f.pl.voc=вьсѣкꙑѩ;n.sg.nom=вьсѣкоѥ;n.sg.gen=вьсѣкаѥго;n.sg.dat=вьсѣкоуѥмоу;n.sg.acc=вьсѣкоѥ;n.sg.ins=вьсѣкꙑимь;n.sg.loc=вьсѣцѣѥмь;n.sg.voc=вьсѣкоѥ;n.du.nom=вьсѣцѣи;n.du.gen=вьсѣкоую;n.du.dat=вьсѣкꙑима;n.du.acc=вьсѣцѣи;n.du.ins=вьсѣкꙑима;n.du.loc=вьсѣкоую;n.du.voc=вьсѣцѣи;n.pl.nom=вьсѣкаꙗ;n.pl.gen=вьсѣкꙑихъ;n.pl.dat=вьсѣкꙑимъ;n.pl.acc=вьсѣкаꙗ;n.pl.ins=вьсѣкꙑими;n.pl.loc=вьсѣкꙑихъ;n.pl.voc=вьсѣкаꙗ	K:-	-
вѣ.pron	вѣ	pron	-	-	PA1a	a	-	1.du.nom=вѣ;1.du.gen=наю;1.du.dat=нама;1.du.acc=на;1.du.ins=нама;1.du.loc=наю	-	U:	-
го.pron	го	pron	-	-	PA1a	-	-	-	-	U:	-
етеръ.pron	етеръ	pron	-	-	PA1	-	-	-	m.pl.nom=етерии	U:	tie PN,PA1k,PNk
жде.pron	жде	pron	-	-	PA1a	a	-	m.sg.gen=жде;m.pl.nom=жде;f.sg.nom=жде;f.sg.gen=жде;f.sg.acc=жде;f.pl.gen=жде;f.pl.ins=жде;n.sg.gen=жде;n.pl.gen=жде;n.pl.acc=жде;n.pl.ins=жде	-	U:	-
же.pron	же	pron	-	-	PA1a	a	-	m.sg.gen=же;f.sg.gen=же;n.sg.gen=же;n.sg.ins=же	-	U:	-
и.pron	и	pron	-	-	PP3	-	-	-	3.m.sg.gen=его;3.m.sg.dat=емоу;3.n.sg.gen=его;3.n.sg.dat=емоу;3.f.sg.gen=еѩ;3.f.sg.dat=еи	U:;H:seeded from the UD PROIEL train forms	the third person (the treebank's lemma и)
иже.pron	иже	pron	-	-	PPize	a	encl=же	m.sg.loc=ѥмьже;m.du.loc=ѥюже;m.pl.loc=ихъже;f.sg.dat=ѥииже;f.sg.loc=ѥииже;f.du.loc=ѥюже;f.pl.loc=ихъже;n.sg.loc=ѥмьже;n.du.loc=ѥюже;n.pl.loc=ихъже	m.sg.nom=ꙇже|ꙇжь|и|ꙇзе;m.sg.gen=егоже;m.sg.dat=емоуже;m.sg.acc=ꙇже|нъже|егоже|ижде;m.sg.ins=имъже|имже|нимже|ꙇмъже|имжъе|нимъже;m.sg.loc=немъже|немже;m.du.nom=ѣже;m.pl.nom=ꙇже;m.pl.gen=ꙇхъже|хъже;m.pl.dat=имже|ꙇмъже|ꙇмьже;m.pl.acc=ѧже|нѧже;f.sg.nom=ѣже|яже;f.sg.gen=ѥѧже|еѩже;f.sg.dat=еиже;f.sg.acc=нюже|нѫже|ѫже;f.sg.ins=еѭже;f.sg.loc=еиже;f.pl.nom=ѧже|же;f.pl.gen=хъже;f.pl.acc=ѧже|ꙗже;n.sg.nom=еже|яже;n.sg.gen=егоже;n.sg.dat=емоуже;n.sg.acc=еже;n.sg.ins=имъже|имже|ꙇмъже;n.sg.loc=немъже|немже;n.pl.nom=ѣже|яже;n.pl.gen=ижехъ|ихже|ꙇхъже;n.pl.acc=ѣже|яже|ѩжѩ	K:-;U:	-
инъ.pron	инъ	pron	-	-	PA1	-	-	-	m.sg.nom=ꙇнъ;m.sg.gen=ꙇного;m.pl.nom=ꙇни;m.pl.gen=ꙇнѣхъ	U:	tie PA1k
каковъ.pron	каковъ	pron	-	-	PA1	-	-	-	-	U:	tie PA1k,PN,PNk
какъ.pron	какъ	pron	-	-	PA1k	a	-	n.sg.ins=кацѣмъ	-	U:	-
колико.pron	колико	pron	-	-	PA1a	a	-	n.sg.nom=колико	-	U:	-
коликъ.pron	коликъ	pron	-	-	PA1k	a	-	n.sg.gen=колика	n.sg.ins=колицѣмъ	U:	tie PNk,PN
которꙑи.pron	которꙑи	pron	-	-	PA1a	a	-	m.sg.gen=которааго;m.sg.dat=котороумоу;m.sg.ins=которꙑимъ;m.pl.nom=котори;n.sg.ins=которꙑимъ	m.sg.nom=которъи|которꙑ;m.sg.gen=котораго	U:	-
къжьдо.pron	къжьдо	pron	-	-	PA1	a	encl=жьдо	m.sg.nom=къждо;m.sg.gen=когожъдо;m.sg.dat=комоуждо;f.sg.dat=комоужьдо;n.sg.nom=кожъдо;n.sg.gen=когожъдо	m.sg.nom=кожъдо|къжъдо|кьжъдо;m.sg.gen=когожде|когождо;m.sg.dat=комоужъдо	U:	-
къто.pron	къто	pron	-	-	PA1a	a	1=къ	m.sg.nom=кто;m.sg.gen=кого;m.sg.dat=комоу;m.sg.ins=цѣмъ;m.sg.loc=комь;f.sg.nom=къто;f.sg.gen=кого;f.sg.dat=комоу;f.sg.loc=комь	m.sg.nom=кото|кьто;m.sg.gen=кога;m.sg.dat=кътомоу;f.sg.nom=кто	U:	-
кътоже.pron	кътоже	pron	-	-	PA1a	a	encl=же;1=къ	m.sg.dat=комоуже	-	U:	-
кꙑи.pron	кꙑи	pron	-	-	PA1a	a	-	m.sg.gen=коѥго;m.sg.dat=коѥмоу;m.sg.ins=кꙑимъ;m.pl.nom=ции;m.pl.acc=кꙑѧ;f.sg.nom=каѣ;f.sg.gen=коѥѧ;f.sg.dat=коѥи;f.sg.acc=кѫѭ;f.sg.ins=коеѭ;f.sg.loc=кои;f.pl.nom=кꙑѧ;f.pl.acc=кꙑѧ;n.sg.nom=коѥ;n.sg.gen=коѥго;n.sg.dat=коѥмоу;n.sg.acc=коѥ;n.sg.ins=кꙑимъ;n.pl.nom=каꙗ;n.pl.acc=каꙗ	m.sg.nom=кꙑ;m.sg.gen=коего;m.sg.dat=к;m.sg.acc=кꙑ;m.sg.ins=кꙑмъ;m.pl.gen=кꙑхъ;f.sg.nom=каꙗ|каа|кая;f.sg.ins=коѭ|коѥѭ;f.sg.loc=коеи;f.pl.acc=кꙑѩ;n.sg.nom=кое;n.sg.gen=коѥга;n.sg.acc=кое;n.sg.ins=кꙑим	U:	-
кꙑиже.pron	кꙑиже	pron	-	-	PA1a	a	encl=же	m.pl.acc=къиже;n.sg.acc=коѥже	-	U:	-
