id	lemma	pos	gender	anim	class	stress	stems	overrides	variants	src	note
авити.v	авити	v	-	-	V:IV:i	-	-	-	part.pres.act.short.m.sg.nom=авимъ;part.pres.act.short.m.sg.gen=авима;part.pres.act.short.m.sg.dat=авимоу;part.pres.act.short.m.sg.acc=авимъ;part.pres.act.short.m.sg.ins=авимомь;part.pres.act.short.m.sg.loc=авимѣ;part.pres.act.short.m.du.nom=авима;part.pres.act.short.m.du.gen=авимоу;part.pres.act.short.m.du.dat=авимома;part.pres.act.short.m.du.acc=авима;part.pres.act.short.m.du.ins=авимома;part.pres.act.short.m.du.loc=авимоу;part.pres.act.short.m.pl.nom=авими;part.pres.act.short.m.pl.gen=авимъ;part.pres.act.short.m.pl.dat=авимомъ;part.pres.act.short.m.pl.acc=авимꙑ;part.pres.act.short.m.pl.ins=авимꙑ;part.pres.act.short.m.pl.loc=авимѣхъ;part.pres.act.short.f.sg.nom=авима;part.pres.act.short.f.sg.gen=авимꙑ;part.pres.act.short.f.sg.dat=авимѣ;part.pres.act.short.f.sg.acc=авимѫ;part.pres.act.short.f.sg.ins=авимоѭ;part.pres.act.short.f.sg.loc=авимѣ;part.pres.act.short.f.du.nom=авимѣ;part.pres.act.short.f.du.gen=авимоу;part.pres.act.short.f.du.dat=авимама;part.pres.act.short.f.du.acc=авимѣ;part.pres.act.short.f.du.ins=авимама;part.pres.act.short.f.du.loc=авимоу;part.pres.act.short.f.pl.nom=авимꙑ;part.pres.act.short.f.pl.gen=авимъ;part.pres.act.short.f.pl.dat=авимамъ;part.pres.act.short.f.pl.acc=авимꙑ;part.pres.act.short.f.pl.ins=авимами;part.pres.act.short.f.pl.loc=авимахъ;part.pres.act.short.n.sg.nom=авимо;part.pres.act.short.n.sg.gen=авима;part.pres.act.short.n.sg.dat=авимоу;part.pres.act.short.n.sg.acc=авимо;part.pres.act.short.n.sg.ins=авимомь;part.pres.act.short.n.sg.loc=авимѣ;part.pres.act.short.n.du.nom=авимѣ;part.pres.act.short.n.du.gen=авимоу;part.pres.act.short.n.du.dat=авимома;part.pres.act.short.n.du.acc=авимѣ;part.pres.act.short.n.du.ins=авимома;part.pres.act.short.n.du.loc=авимоу;part.pres.act.short.n.pl.nom=авима;part.pres.act.short.n.pl.gen=авимъ;part.pres.act.short.n.pl.dat=авимомъ;part.pres.act.short.n.pl.acc=авима;part.pres.act.short.n.pl.ins=авимꙑ;part.pres.act.short.n.pl.loc=авимѣхъ;part.pres.act.long.m.sg.nom=авимꙑи;part.pres.act.long.m.sg.gen=авимaѥго;part.pres.act.long.m.sg.dat=авимоуѥмоу;part.pres.act.long.m.sg.acc=авимꙑи;part.pres.act.long.m.sg.ins=авимꙑимь;part.pres.act.long.m.sg.loc=авимѣѥмь;part.pres.act.long.m.du.nom=авимаꙗ;part.pres.act.long.m.du.gen=авимоую;part.pres.act.long.m.du.dat=авимꙑима;part.pres.act.long.m.du.acc=авимаꙗ;part.pres.act.long.m.du.ins=авимꙑима;part.pres.act.long.m.du.loc=авимоую;part.pres.act.long.m.pl.nom=авѧщии|авимии;part.pres.act.long.m.pl.gen=авимꙑихъ;part.pres.act.long.m.pl.dat=авимꙑимъ;part.pres.act.long.m.pl.acc=авимꙑѩ;part.pres.act.long.m.pl.ins=авимꙑими;part.pres.act.long.m.pl.loc=авимꙑихъ;part.pres.act.long.f.sg.nom=авимаꙗ;part.pres.act.long.f.sg.gen=авимꙑѩ;part.pres.act.long.f.sg.dat=авимѣи;part.pres.act.long.f.sg.acc=авимѫѭ;part.pres.act.long.f.sg.ins=авимѫѭ;part.pres.act.long.f.sg.loc=авимѣи;part.pres.act.long.f.du.nom=авимѣи;part.pres.act.long.f.du.gen=авимоую;part.pres.act.long.f.du.dat=авимꙑима;part.pres.act.long.f.du.acc=авимѣи;part.pres.act.long.f.du.ins=авимꙑима;part.pres.act.long.f.du.loc=авимоую;part.pres.act.long.f.pl.nom=авимꙑѩ;part.pres.act.long.f.pl.gen=авимꙑихъ;part.pres.act.long.f.pl.dat=авимꙑимъ;part.pres.act.long.f.pl.acc=авимꙑѩ;part.pres.act.long.f.pl.ins=авимꙑими;part.pres.act.long.f.pl.loc=авимꙑихъ;part.pres.act.long.n.sg.nom=авимоѥ;part.pres.act.long.n.sg.gen=авимaѥго;part.pres.act.long.n.sg.dat=авимоуѥмоу;part.pres.act.long.n.sg.acc=авимоѥ;part.pres.act.long.n.sg.ins=авимꙑимь;part.pres.act.long.n.sg.loc=авимѣѥмь;part.pres.act.long.n.du.nom=авимѣи;part.pres.act.long.n.du.gen=авимоую;part.pres.act.long.n.du.dat=авимꙑима;part.pres.act.long.n.du.acc=авимѣи;part.pres.act.long.n.du.ins=авимꙑима;part.pres.act.long.n.du.loc=авимоую;part.pres.act.long.n.pl.nom=авимаꙗ;part.pres.act.long.n.pl.gen=авимꙑихъ;part.pres.act.long.n.pl.dat=авимꙑимъ;part.pres.act.long.n.pl.acc=авимаꙗ;part.pres.act.long.n.pl.ins=авимꙑими;part.pres.act.long.n.pl.loc=авимꙑихъ;pres.1.sg=ѣвлѭ|авлѫ|ꙗвьѭ;pres.1.pl=явимъ;pres.3.sg=ѣвитъ|ꙗвитъ|явитъ;pres.3.pl=авѩтъ|ѣвѧтъ;impf.3.sg=явьяше;aor.1.sg=ѣвихъ;aor.3.sg=ꙗви|ѣви|яви|яв;aor.3.pl=ꙗвишꙙ|авишѩ;impv.2.sg=ꙗви|ѣви;lpart.m.sg=ѣвилъ;part.pres.pass.short.n.sg.acc=ꙗвьꙗѥмо;part.past.act.short.m.sg.nom=ꙗвь|ꙗвивъ|ꙗвль;part.past.act.short.f.sg.nom=ꙗвивъши;part.past.act.long.m.sg.nom=ꙗвивꙑи|ꙗвии;part.past.pass.long.m.sg.nom=ꙗвьѥнꙑи;part.past.pass.long.f.sg.ins=ꙗвьенѫѫ	K:V:IV:i;U:	-
авлꙗти.v	авлꙗти	v	-	-	V:III:ja	a	-	pres.2.sg=ѣвлѣеши;pres.2.pl=авлѣате;pres.3.sg=ꙗвьꙗѥтъ;impf.3.sg=ꙗвьꙗше;part.pres.act.short.m.sg.nom=ꙗвьꙗѧ;part.pres.act.long.n.pl.nom=ꙗвлꙗѧ	pres.3.sg=авлѣатъ|ꙗвлꙗѥ	U:	-
алкати.v	алкати	v	-	-	V:III:j	-	-	-	part.pres.act.long.m.pl.nom=алчѫщии	K:V:III:j	-
алъкати.v	алъкати	v	-	-	V:III:j	-	-	-	part.pres.act.long.m.pl.nom=алъчѫщии|алчѫштеи|алъчѫштиꙇ;part.pres.act.long.m.pl.dat=лачѫштиимъ;part.pres.act.long.m.pl.acc=алчѫштѧѧ|алчѫштѧѩ|лачѫштѧѩ;part.pres.act.long.f.pl.dat=лачѫштиимъ;impv.1.pl=алчамꙑ;part.past.act.short.m.sg.nom=алъкавъ	K:V:III:j;U:	-
багърити.v	багърити	v	-	-	V:IV:i	a	-	part.pres.pass.short.m.sg.nom=багъримъ	-	U:	-
баловати.v	баловати	v	-	-	V:III:ov	-	-	-	-	K:V:III:ov	-
баꙗти.v	баꙗти	v	-	-	V:III:ja	-	-	pres.1.du=баевѣ;pres.1.pl=баемъ;pres.2.sg=баеши;pres.2.du=баета;pres.2.pl=баете;pres.3.sg=баетъ;pres.3.du=баете;part.pres.act.short.m.sg.nom=баѧ;part.pres.act.short.n.sg.nom=баѧ;part.pres.act.long.m.sg.nom=баѧи	part.pres.act.short.m.sg.nom=баемъ;part.pres.act.short.m.sg.gen=баема;part.pres.act.short.m.sg.dat=баемоу;part.pres.act.short.m.sg.acc=баемъ;part.pres.act.short.m.sg.ins=баемомь;part.pres.act.short.m.sg.loc=баемѣ;part.pres.act.short.m.du.nom=баема;part.pres.act.short.m.du.gen=баемоу;part.pres.act.short.m.du.dat=баемома;part.pres.act.short.m.du.acc=баема;part.pres.act.short.m.du.ins=баемома;part.pres.act.short.m.du.loc=баемоу;part.pres.act.short.m.pl.nom=баеми;part.pres.act.short.m.pl.gen=баемъ;part.pres.act.short.m.pl.dat=баемомъ;part.pres.act.short.m.pl.acc=баемꙑ;part.pres.act.short.m.pl.ins=баемꙑ;part.pres.act.short.m.pl.loc=баемѣхъ;part.pres.act.short.f.sg.nom=баема;part.pres.act.short.f.sg.gen=баемꙑ;part.pres.act.short.f.sg.dat=баемѣ;part.pres.act.short.f.sg.acc=баемѫ;part.pres.act.short.f.sg.ins=баемоѭ;part.pres.act.short.f.sg.loc=баемѣ;part.pres.act.short.f.du.nom=баемѣ;part.pres.act.short.f.du.gen=баемоу;part.pres.act.short.f.du.dat=баемама;part.pres.act.short.f.du.acc=баемѣ;part.pres.act.short.f.du.ins=баемама;part.pres.act.short.f.du.loc=баемоу;part.pres.act.short.f.pl.nom=баемꙑ;part.pres.act.short.f.pl.gen=баемъ;part.pres.act.short.f.pl.dat=баемамъ;part.pres.act.short.f.pl.acc=баемꙑ;part.pres.act.short.f.pl.ins=баемами;part.pres.act.short.f.pl.loc=баемахъ;part.pres.act.short.n.sg.nom=баемо;part.pres.act.short.n.sg.gen=баема;part.pres.act.short.n.sg.dat=баемоу;part.pres.act.short.n.sg.acc=баемо;part.pres.act.short.n.sg.ins=баемомь;part.pres.act.short.n.sg.loc=баемѣ;part.pres.act.short.n.du.nom=баемѣ;part.pres.act.short.n.du.gen=баемоу;part.pres.act.short.n.du.dat=баемома;part.pres.act.short.n.du.acc=баемѣ;part.pres.act.short.n.du.ins=баемома;part.pres.act.short.n.du.loc=баемоу;part.pres.act.short.n.pl.nom=баема;part.pres.act.short.n.pl.gen=баемъ;part.pres.act.short.n.pl.dat=баемомъ;part.pres.act.short.n.pl.acc=баема;part.pres.act.short.n.pl.ins=баемꙑ;part.pres.act.short.n.pl.loc=баемѣхъ;part.pres.act.long.m.sg.nom=баемꙑи;part.pres.act.long.m.sg.gen=баемaѥго;part.pres.act.long.m.sg.dat=баемоуѥмоу;part.pres.act.long.m.sg.acc=баемꙑи;part.pres.act.long.m.sg.ins=баемꙑимь;part.pres.act.long.m.sg.loc=баемѣѥмь;part.pres.act.long.m.du.nom=баемаꙗ;part.pres.act.long.m.du.gen=баемоую;part.pres.act.long.m.du.dat=баемꙑима;part.pres.act.long.m.du.acc=баемаꙗ;part.pres.act.long.m.du.ins=баемꙑима;part.pres.act.long.m.du.loc=баемоую;part.pres.act.long.m.pl.nom=баѭщии|баемии;part.pres.act.long.m.pl.gen=баемꙑихъ;part.pres.act.long.m.pl.dat=баемꙑимъ;part.pres.act.long.m.pl.acc=баемꙑѩ;part.pres.act.long.m.pl.ins=баемꙑими;part.pres.act.long.m.pl.loc=баемꙑихъ;part.pres.act.long.f.sg.nom=баемаꙗ;part.pres.act.long.f.sg.gen=баемꙑѩ;part.pres.act.long.f.sg.dat=баемѣи;part.pres.act.long.f.sg.acc=баемѫѭ;part.pres.act.long.f.sg.ins=баемѫѭ;part.pres.act.long.f.sg.loc=баемѣи;part.pres.act.long.f.du.nom=баемѣи;part.pres.act.long.f.du.gen=баемоую;part.pres.act.long.f.du.dat=баемꙑима;part.pres.act.long.f.du.acc=баемѣи;part.pres.act.long.f.du.ins=баемꙑима;part.pres.act.long.f.du.loc=баемоую;part.pres.act.long.f.pl.nom=баемꙑѩ;part.pres.act.long.f.pl.gen=баемꙑихъ;part.pres.act.long.f.pl.dat=баемꙑимъ;part.pres.act.long.f.pl.acc=баемꙑѩ;part.pres.act.long.f.pl.ins=баемꙑими;part.pres.act.long.f.pl.loc=баемꙑихъ;part.pres.act.long.n.sg.nom=баемоѥ;part.pres.act.long.n.sg.gen=баемaѥго;part.pres.act.long.n.sg.dat=баемоуѥмоу;part.pres.act.long.n.sg.acc=баемоѥ;part.pres.act.long.n.sg.ins=баемꙑимь;part.pres.act.long.n.sg.loc=баемѣѥмь;part.pres.act.long.n.du.nom=баемѣи;part.pres.act.long.n.du.gen=баемоую;part.pres.act.long.n.du.dat=баемꙑима;part.pres.act.long.n.du.acc=баемѣи;part.pres.act.long.n.du.ins=баемꙑима;part.pres.act.long.n.du.loc=баемоую;part.pres.act.long.n.pl.nom=баемаꙗ;part.pres.act.long.n.pl.gen=баемꙑихъ;part.pres.act.long.n.pl.dat=баемꙑимъ;part.pres.act.long.n.pl.acc=баемаꙗ;part.pres.act.long.n.pl.ins=баемꙑими;part.pres.act.long.n.pl.loc=баемꙑихъ	K:V:III:ja	-
безаконьновати.v	безаконьновати	v	-	-	V:III:ov	a	-	aor.1.pl=безаконъновахомъ;aor.3.pl=безаконьновашѩ;part.pres.act.long.m.pl.nom=безаконьноуѭштеи	-	U:	-
безоковати.v	безоковати	v	-	-	V:I:a	a	-	part.pres.act.short.m.pl.nom=безокоуѭште	-	U:	-
бесѣдовати.v	бесѣдовати	v	-	-	V:III:ov	-	-	-	pres.1.pl=бесѣдоуѥмъ;pres.2.sg=бесѣдоуѥши;pres.3.sg=бесѣдоуѥтъ|бесѣдоуѥ;impf.3.sg=бесѣдоуꙗше;part.pres.act.short.m.sg.gen=бесѣдоуѭшта;part.pres.act.short.m.sg.dat=бесѣдоуѭштоу;part.pres.act.short.m.du.dat=бесѣдоуѭштема;part.pres.act.short.m.pl.nom=бесѣдоуѭште;part.pres.act.short.m.pl.dat=бесѣдоуѭштемъ;part.past.act.short.m.sg.nom=бесѣдовавъ	K:V:III:ov;U:	-
