rank	kind	normalized	sample	frequency	document_frequency	candidate_lexeme_ids	suggested_action
1	ambiguity-or-spelling-variant	ни	ни	1658	1285	synodal:conjunction:wikt-3fc656e987c2,synodal:particle:negative-ni	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
2	ambiguity-or-spelling-variant	твои	твоѝ	816	709	synodal:pronoun:tvoi,synodal:pronoun:wikt-d941ad616a6f	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
3	ambiguity-or-spelling-variant	тысѧщъ	ты́сѧщъ	634	503	synodal:noun:v06-tysyashcha,synodal:numeral:tysiascha	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
4	ambiguity-or-spelling-variant	имать	и҆́мать	557	497	synodal:verb:imati,synodal:verb:wikt-0c6c8db63b7c	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
5	ambiguity-or-spelling-variant	є	є҆̀	469	412	synodal:pronoun:on,synodal:pronoun:v06-7cb9fbdd604c5a70	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
6	ambiguity-or-spelling-variant	братїѧ	бра́тїѧ	464	453	synodal:noun:brethren-collective,synodal:noun:brother	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
7	ambiguity-or-spelling-variant	тꙋ	тꙋ̀	373	360	synodal:adverb:wikt-e0d6b61a9ce0,synodal:pronoun:toi	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
8	ambiguity-or-spelling-variant	сотворилъ	сотвори́лъ	343	322	synodal:verb:sotvoriti,synodal:verb:v07-1c4a4d92c8c26109	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
9	ambiguity-or-spelling-variant	тысѧщы	ты́сѧщы	333	311	synodal:noun:v06-tysyashcha,synodal:numeral:tysiascha	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
10	ambiguity-or-spelling-variant	іакѡвъ	і҆а́кѡвъ	297	279	synodal:proper-noun:iakov,synodal:proper-noun:v07-25a23d2233c45069	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
11	ambiguity-or-spelling-variant	ѕло	ѕло̀	261	255	synodal:adjective:zlyi,synodal:noun:v11-112ca1130b42	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
12	ambiguity-or-spelling-variant	аарѡнъ	а҆арѡ́нъ	253	243	synodal:proper-noun:aaron,synodal:proper-noun:wikt-246df9e425fa	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
13	ambiguity-or-spelling-variant	имꙋтъ	и҆́мꙋтъ	242	223	synodal:verb:imati,synodal:verb:wikt-0c6c8db63b7c	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
