id	lemma	pos	gender	anim	class	stress	stems	overrides	variants	src	note
аарѡновъ.a	а҆арѡ́новъ	a	-	-	A2t	a	-	short.pos.m.sg.ins=а҆арѡ́нѡвымъ;short.pos.n.sg.ins=а҆арѡ́нѡвымъ	short.pos.m.pl.nom=а҆арѡ́новы×1;short.pos.f.sg.nom=а҆арѡ́нѡвы×3	P:A2t	poss
аарѡнь.a	а҆арѡ́нь	a	-	-	A2j	a	-	-	-	P:A2j	poss
абалакскій.a	а҆бала́кскій	a	-	-	A1sk	a	-	-	-	P:A1k	-
абалацкій.a	а҆бала́цкій	a	-	-	A1k	a	-	-	-	P:A1k	-
аварімль.a	а҆варі́мль	a	-	-	A2j	a	-	-	-	P:A2j	poss
аввакꙋмовъ.a	а҆ввакꙋ́мовъ	a	-	-	A2t	a	-	-	-	P:A2t	poss
авгадовъ.a	а҆вга́довъ	a	-	-	A2t	a	-	short.pos.f.sg.nom=а҆вга́дѡвы	-	P:A2t	poss
авдедомль.a	а҆вдедо́мль	a	-	-	A2j	a	-	-	-	P:A2j	poss
авдеилевъ.a	а҆вдеи́левъ	a	-	-	A2t	a	-	-	-	P:A2t	poss
авдіевъ.a	а҆вді́евъ	a	-	-	A2t	a	-	-	-	P:A2t	poss
авдіиловъ.a	а҆вдіи́ловъ	a	-	-	A2t	a	-	-	-	P:A2t	poss
авдіинъ.a	а҆вді́инъ	a	-	-	A2t	a	-	-	-	P:A2t	poss
авдѡновъ.a	а҆вдѡ́новъ	a	-	-	A2t	a	-	-	-	P:A2t	poss
аведаріинъ.a	а҆веда́ріинъ	a	-	-	A2t	a	-	-	-	P:A2t	poss
аведдаровъ.a	а҆ведда́ровъ	a	-	-	A2t	a	-	-	-	P:A2t	poss
аведовъ.a	а҆ве́довъ	a	-	-	A2t	a	-	-	-	P:A2t	poss
авелемъ.a	а҆́велемъ	a	-	-	A2t	a	1=авелев	short.pos.m.pl.nom=а҆́велевы	-	P:A2t	poss; headword а҆́велевъ
авенировъ.a	а҆вени́ровъ	a	-	-	A2t	a	-	-	short.pos.m.sg.nom=а҆вені́ровъ×1;short.pos.m.sg.acc=а҆вені́ровъ×1	P:A2t	poss
аверкіевъ.a	а҆ве́ркіевъ	a	-	-	A2t	a	-	-	-	P:A2t	poss
авессалѡмль.a	а҆вессалѡ́мль	a	-	-	A2j	a	-	-	-	P:A2j	poss
авессалѡмовъ.a	а҆вессалѡ́мовъ	a	-	-	A2t	a	-	-	short.pos.f.sg.nom=а҆вессалѡ́мѡвы×1	P:A2t	poss
авидовъ.a	а҆ви́довъ	a	-	-	A2t	a	-	-	-	P:A2t	poss
авнежскій.a	а҆вне́жскій	a	-	-	A1sk	a	-	-	-	P:A1k	-
авраамль.a	а҆враа́мль	a	-	-	A2j	a	-	-	-	P:A2j	poss
авраамовъ.a	а҆враа́мовъ	a	-	-	A2t	a	-	short.pos.m.pl.nom=а҆враа́мовы	short.pos.m.sg.gen=а҆враа́мѡва×9;short.pos.m.sg.acc=а҆враа́мѡва×9;short.pos.f.sg.nom=а҆враа́мѡва×9|а҆враа́мѡвы×2;short.pos.n.sg.gen=а҆враа́мѡва×9	P:A2t	poss
авраамскій.a	а҆враа́мскій	a	-	-	A1sk	a	-	-	-	P:A1k	-
аврамль.a	а҆вра́мль	a	-	-	A2j	a	-	-	-	P:A2j	poss
аврамовъ.a	а҆вра́мовъ	a	-	-	A2t	a	-	-	short.pos.f.sg.nom=а҆вра́мѡвы×1	P:A2t	poss
авіасафовъ.a	а҆віаса́фовъ	a	-	-	A2t	a	-	-	-	P:A2t	poss
авіаѳаровъ.a	а҆віа́ѳаровъ	a	-	-	A2t	a	-	-	short.pos.m.sg.nom=а҆вїаѳа́ровъ×1;short.pos.m.sg.acc=а҆вїаѳа́ровъ×1	P:A2t	poss
авіаѳарь.a	а҆віаѳа́рь	a	-	-	A2j	a	-	-	-	P:A2j	poss
авіевъ.a	а҆ві́евъ	a	-	-	A2t	a	-	-	-	P:A2t	poss
авіезеровъ.a	а҆віезе́ровъ	a	-	-	A2t	a	-	-	-	P:A2t	poss
авіилевъ.a	а҆віи́левъ	a	-	-	A2t	a	-	-	-	P:A2t	poss
авіиловъ.a	а҆віи́ловъ	a	-	-	A2t	a	-	-	-	P:A2t	poss
авіинъ.a	а҆ві́инъ	a	-	-	A2t	a	-	-	-	P:A2t	poss
авімелеховъ.a	а҆вімеле́ховъ	a	-	-	A2t	a	-	short.pos.f.sg.nom=а҆вімеле́хѡвы	-	P:A2t	poss
авінеемль.a	а҆вінее́мль	a	-	-	A2j	a	-	-	-	P:A2j	poss
авінеемовъ.a	а҆вінее́мовъ	a	-	-	A2t	a	-	-	-	P:A2t	poss
авірѡнь.a	а҆вірѡ́нь	a	-	-	A2j	a	-	-	-	P:A2j	poss
авісеевъ.a	а҆вісе́евъ	a	-	-	A2t	a	-	-	-	P:A2t	poss
авісꙋевъ.a	а҆вісꙋ́евъ	a	-	-	A2t	a	-	-	-	P:A2t	poss
авісꙋмовъ.a	а҆вісꙋ́мовъ	a	-	-	A2t	a	-	-	-	P:A2t	poss
авісꙋровъ.a	а҆вісꙋ́ровъ	a	-	-	A2t	a	-	-	-	P:A2t	poss
авіхеовъ.a	а҆віхе́овъ	a	-	-	A2t	a	-	-	-	P:A2t	poss
авꙋвовъ.a	а҆вꙋ́вовъ	a	-	-	A2t	a	-	-	-	P:A2t	poss
агаваевъ.a	а҆гава́евъ	a	-	-	A2t	a	-	-	-	P:A2t	poss
агавовъ.a	а҆га́вовъ	a	-	-	A2t	a	-	short.pos.f.sg.nom=а҆га́вѡвы	-	P:A2t	poss
агарінъ.a	а҆гарі́нъ	a	-	-	A2t	a{short.pos.m.pl.nom=1;short.pos.m.pl.gen=1;short.pos.m.pl.acc=1;short.pos.m.pl.ins=1;short.pos.m.pl.loc=1;short.pos.f.sg.nom=1;short.pos.f.pl.nom=1;short.pos.f.pl.gen=1;short.pos.f.pl.acc=1;short.pos.f.pl.ins=1;short.pos.f.pl.loc=1;short.pos.n.pl.gen=1;short.pos.n.pl.ins=1;short.pos.n.pl.loc=1}	1=агарин	short.pos.m.pl.nom=а҆га́рины;short.pos.f.sg.nom=а҆га́рины	-	P:A2t	poss
агарітинъ.a	а҆гарі́тинъ	a	-	-	A2t	a	-	-	-	P:A2t	poss
агарѧнскій.a	а҆га́рѧнскій	a	-	-	A1sk	a	-	-	-	P:A1k	-
аггеевъ.a	а҆гге́евъ	a	-	-	A2t	a	-	-	-	P:A2t	poss
аггельскій.a	а҆́ггельскій	a	-	-	A1sk	a	-	-	-	P:A1k	-
аггіновъ.a	а҆ггі́новъ	a	-	-	A2t	a	-	-	-	P:A2t	poss
аггінъ.a	а҆ггі́нъ	a	-	-	A2t	a	-	-	-	P:A2t	poss
аггіѳинъ.a	а҆ггі́ѳинъ	a	-	-	A2t	a	-	-	-	P:A2t	poss
агкѵрскій.a	а҆гкѵ́рскій	a	-	-	A1sk	a	-	-	-	P:A1k	-
агновъ.a	а҆́гновъ	a	-	-	A2t	a	-	short.pos.f.sg.nom=а҆́гнѡвы	-	P:A2t	poss
агнчій.a	а҆́гнчій	a	-	-	A1s	a	-	long.pos.m.pl.acc=а҆́гнечь;long.pos.f.pl.nom=а҆́гнечь;long.pos.f.pl.acc=а҆́гнечь	-	P:A1s/A2i	poss
аговдаевъ.a	а҆говда́евъ	a	-	-	A2t	a	-	-	-	P:A2t	poss
