lexeme_id	classification	engine_route	support_state	evidence	notes
synodal:adverb:blagochestno	indeclinable	reviewed-exact-indeclinable	implemented	alypy-3-abbreviation-inventory	The semantic abbreviation family is an invariant adverb and has no inflectional cells beyond its lexical form.
synodal:noun:imyarek	indeclinable	closed-rubric-placeholder	implemented	alypy-3-imyarek-placeholder	This is a closed rubric token; grammatical case belongs to the substituted personal name, not to the placeholder.
synodal:particle:conditional-by	indeclinable	reviewed-exact-indeclinable	implemented	ponomar-acts-10-17-by	The conditional particle бы is invariant and enclitic (unaccented in its 196 Bible tokens); the exact printed evidence is its complete lexical realization, distinct from the aorist бы̀ of бы́ти.
synodal:particle:negative-ni	indeclinable	reviewed-exact-indeclinable	implemented	alypy-gamanovich-grammar-web-2023	The negative particle is invariant; exact printed evidence is its complete lexical realization.
synodal:verb:dostoyati	closed-irregular	typed-defective-inventory	implemented	alypy-104-dostoyati-defective	Alypy §104 licenses only the third-singular present and imperfect plus the cited infinitive; all other requests fail through the registered historical defect.
synodal:adverb:vne	indeclinable	reviewed-exact-indeclinable	implemented	ponomar-acts-5-34-vne-indeclinable	The local adverb внѣ̀ is invariant; the source-partition print of its single lexical form is its complete realization and no inflectional cell is claimed.
synodal:adverb:vsegda	indeclinable	reviewed-exact-indeclinable	implemented	alypy-108-vsegda-adverb	Alypy §108 lists всегда̀ among the invariant temporal adverbs; it has no inflectional cells beyond its lexical form.
synodal:conjunction:temzhe	indeclinable	reviewed-exact-indeclinable	implemented	alypy-114-temzhe-conjunction	Alypy §114 lists тѣ́мже among the invariant conjunctions; the fused -же postpositive is part of the lexical form rather than an inflection.
synodal:preposition:predo	indeclinable	reviewed-exact-indeclinable	implemented	alypy-110-predo-preposition	Alypy §110 lists предо as the vocalized shape of предъ before consonant clusters. It is an invariant preposition, and the vocalization is lexical rather than inflectional.
synodal:adverb:vskuyu	indeclinable	reviewed-exact-indeclinable	implemented	alypy-108-vskuyu-adverb	Alypy §108 lists вскꙋ́ю among the invariant interrogative adverbs; its historical accusative origin does not license a synchronic paradigm.
synodal:adverb:dokole	indeclinable	reviewed-exact-indeclinable	implemented	ponomar-apoc-6-10-dokole-indeclinable	Two independent target editions print the invariant interrogative доко́лѣ identically; it has no inflectional cells beyond its lexical form.
synodal:preposition:ob	indeclinable	reviewed-exact-indeclinable	implemented	alypy-110-ob-preposition	Alypy §110 lists ѡ҆б̾ as the shape of ѡ҆ before certain consonants. It is an invariant preposition whose paerok belongs to the printed lexical form.
